"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara"
"1" "34.9" "40" "2" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "29" "29" "1" " 11. kerület, Baranyai tér 15. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "35 000 Ft/hó" NA NA NA NA
"3" "95" "73" "2" " 2. kerület, Vend utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "30 000 Ft/hó" "nincs" "9 m²" NA NA
"4" "32" "48" "2" " 11. kerület, Bártfai utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs" "2 m²" "nincs megadva" NA
"5" "43" "51" "1" " 11. kerület, Irinyi József utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "3 m²" NA NA
"6" "124" "109" "5" " 11. kerület, Derzsi utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA "14 m²" NA NA
"7" "26.5" "36" "1" " 3. kerület, Kórház utca 19. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "17 000 Ft/hó" "nincs" NA "nem vett részt" NA
"8" "36" "53" "2" " 21. kerület, Urhajós utca " "újszeru" "1950-1980 között" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "nincs megadva" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "9 000 Ft/hó" "nincs" "3 m²" NA NA
"9" "22.8" "27" "1" " 14. kerület, Egressy út " "jó állapotú" "1981-2000 között" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló" NA NA NA NA NA
"10" "36.5" "52" "2" " 8. kerület, Práter utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "6 m²" "nem vett részt" NA
