"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "erkely" "rezsikoltseg" "panelprogram"
"1" "59.27" "60" "3" " 3. kerület, Óbuda-Óváros " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA NA
"2" "42.9" "54" "2" " 2. kerület, Törökvész út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA NA NA
"3" "84.5" "85" "3" " 3. kerület, Óbuda-Óváros " "új építésu" "2020" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "4.5 M Ft" "7.66 m²" NA NA
"4" "33" "60" "2" " 8. kerület, Szörény utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - bérelheto" "2 000 Ft/hó" NA "12 000 Ft/hó" NA
"5" "39" "42" "2" " 14. kerület, Alsórákos " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "20 m²" NA NA
"6" "89.9" "87" "3" " 6. kerület, Szinyei Merse Pál utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" "40 m²" NA NA
"7" "87.9" "83" "3" " 6. kerület, Jókai utca 20. " "új építésu" "2019" "összkomfortos" "AA+" "4" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nem" "külön és egyben is" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "4.6 m²" NA NA
"8" "96" "101" "4" " 12. kerület, Virányos " "felújított" "1950 elott" "luxus" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "30 m²" NA NA
"9" "28.2" "68" "3" " 10. kerület, Kobánya – Újhegyi lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "3 m²" NA "nincs megadva"
"10" "74" "73" "3" " 11. kerület, Sasad " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "7.5 M Ft" "8 m²" NA NA
