"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "tetoter" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "48.9" "68" "3" " 14. kerület, Nagy Lajos király útja " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "32.8" "32" "1" " 2. kerület, Bimbó út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos, padlófutés" "nem" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "utca, közterület" "nincs megadva" NA NA NA NA NA
"3" "112" "88" "3" " 14. kerület, Herminamezo " "újszeru" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "5" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló" "legfelso emelet, nem tetotéri" "van" "94 m²" NA NA NA
"4" "10.99" "28" "1" " 10. kerület, Tárna utca 4. " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "utca, közterület - ingyenes" "nem tetotéri" "nincs" NA NA NA NA
"5" "43.9" "54" "2" " 6. kerület, Király utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA NA NA
"6" "37.69" "73" "3" " 18. kerület, Halomi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "utca, közterület - ingyenes" NA "nincs" "12 m²" "30 000 Ft/hó" NA NA
"7" "49.9" "47" "1" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nem" "külön helyiségben" "dél" "utcai" "nincs megadva" "utca, közterület" "nem tetotéri" "van" NA NA NA NA
"8" "28.9" "54" "2" " 20. kerület, Rimaszombat utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" "30 000 Ft/hó" NA NA
"9" "18.9" "62" "2" " 9. kerület, Sobieski János utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "4" "van" "3 m-nél alacsonyabb" "elektromos" "igen" "egy helyiségben" "északkelet" "udvari" "nem" "utca, közterület - ingyenes" "nem tetotéri" "nincs" NA "10 000 Ft/hó" NA NA
"10" "39.9" "33" "1" " 6. kerület, Lovag utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "teremgarázs hely - bérelheto" "nincs megadva" "van" "2.6 m²" NA "40 000 Ft/hó" NA
"11" "39.5" "64" "3" " 8. kerület, Baross utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "utca, közterület" "nem tetotéri" NA "4 m²" NA NA "nincs megadva"
"12" "39.9" "45" "2" " 6. kerület, Weiner Leó utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" "van" NA NA NA NA
"13" "28.9" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "nincs megadva" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "1 m²" NA NA "nincs megadva"
"14" "24.5" "49" "2" " 10. kerület, Szövoszék utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "utca, közterület - ingyenes" "nem tetotéri" "nincs" "2 m²" "45 000 Ft/hó" NA "nem vett részt"
"15" "28.2" "40" "1" " 13. kerület, Angyalföld " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA NA NA
"16" "44.99" "66" "2" " 9. kerület, Tuzoltó utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "nem tetotéri" NA "2 m²" NA NA NA
"17" "59.2" "67" "2" " 9. kerület, Középso-Ferencváros " "újszeru" "2018" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "nincs megadva" NA "20 m²" NA "4.8 M Ft" NA
"18" "33.9" "56" "2" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "utca, közterület - ingyenes" NA "van" "3 m²" NA NA NA
"19" "23.25" "44" "2" " 10. kerület, Bihari utca " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "6" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "igen" "udvari beálló - benne van az árban" "nincs megadva" NA NA "25 000 Ft/hó" NA NA
"20" "59.7" "96" "3" " 14. kerület, Istvánmezo " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "nincs megadva" "utca, közterület" "nincs megadva" NA "2 m²" NA NA NA
