"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "30.49" "58" "1" " 13. kerület, Angyalföld " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "28.3" "36" "1" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "54" "70" "2" " 2. kerület, Víziváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA NA NA
"4" "30.6" "50" "1" " 14. kerület, Rákosfalva " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs" NA NA NA
"5" "33.3" "48" "1" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA
"6" "29.5" "39" "1" " 13. kerület, Hegedus Gyula utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "13 000 Ft/hó" NA NA
"7" "32.95" "35" "1" " 7. kerület, Damjanich utca 2. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA NA
"8" "32.9" "52" "2" " 19. kerület, Áchim András utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" "12 000 Ft/hó" "7 m²" NA
"9" "43.9" "67" "2" " 13. kerület, Béke utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs megadva" "van" "11 000 Ft/hó" "4 m²" NA
"10" "35.8" "50" "2" " 14. kerület, Wass Albert tér " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "16 000 Ft/hó" NA NA
"11" "54" "60" "2" " 3. kerület, Bécsi út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "egyéb kazán, elektromos" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "zárószint" "utca, közterület" NA "van" "14 000 Ft/hó" "4 m²" NA
"12" "63" "47" "2" " 11. kerület, Pálinkás Antal utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "20 000 Ft/hó" "10 m²" "5 M Ft"
"13" "46.9" "63" "2" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"14" "49.88" "56" "2" " 7. kerület, Belso-Erzsébetváros " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"15" "29.99" "46" "1" " 14. kerület, Zsivora park 4. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" NA NA
"16" "65" "82" "2" " 7. kerület, Rákóczi út " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA
"17" "29.4" "36" "2" " 13. kerület, Gidófalvy Lajos utca 21. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
