"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "panelprogram"
"1" "25.9" "66" "2.5" " 9. kerület, Gönczy Pál utca " "felújított" "összkomfortos" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "69.9" "102" "3" " 8. kerület, Práter utca " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"3" "42.9" "118" "4" " 20. kerület, Nagysándor József utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" NA NA NA
"4" "47" "56" "2" " 12. kerület, Mártonhegy " "felújítandó" "komfortos" "nincs megadva" "2" "földszintes" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" "4 m²" NA NA
"5" "47.9" "130" "4" " 20. kerület, Nagysándor József utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" NA NA NA
"6" "37.65" "47" "2" " 11. kerület, Lágymányosi lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2021" "5 m²" NA NA
"7" "55" "75" "2" " 12. kerület, Márvány utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "10 m²" NA NA
"8" "57" "45" "1" " 12. kerület, Krisztinaváros – Városmajor " "újszeru" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2019" NA NA NA
"9" "26.2" "29" "1" " 11. kerület, Gazdagrét " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" "nincs megadva"
"10" "77.5" "70" "3" " 6. kerület, Andrássy út " "felújított" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "13 500 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
