"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "154.9" "118" "3" " 12. kerület, Hangya utca " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "50 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA
"2" "88" "84" "3" " 9. kerület, Vendel utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön és egyben is" "északkelet" "kertre nézo" "29 m²" "nem" "penthouse" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA
"3" "31.8" "43" "1" " 4. kerület, Chinoin utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "23 000 Ft/hó" NA
"4" "69.1" "58" "3" " 3. kerület, Zápor utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"5" "104" "113" "4" " 11. kerület, Madárhegy " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "22 m²" "igen" "nincs megadva" "teremgarázs hely" NA NA NA
"6" "29.9" "53" "2" " 4. kerület, Nyár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "4.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"7" "118" "132" "5" " 11. kerület, Rozsdafarkú utca " "nincs megadva" "2021" "nincs megadva" "nincs megadva" "földszint" "3" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "panorámás" "40 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA
"8" "65.8" "63" "2" " 2. kerület, Országút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "52.99" "60" "2" " 14. kerület, Lipótvár utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "6 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "3 M Ft" NA NA
"10" "37.59" "73" "3" " 3. kerület, Hatvany Lajos utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "házközponti, távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "45 000 Ft/hó" "nincs megadva"
"11" "27.9" "48" "2" " 22. kerület, Háros utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "egy helyiségben" "északkelet" "utcai" "3.4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"12" "31.2" "35" "1" " 13. kerület, Szent László út " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "északnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" NA NA NA
"13" "56.35" "65" "3" " 20. kerület, Vízisport utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nem" "egy helyiségben" "kelet" "kertre nézo" "26 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "1 M Ft" NA NA
"14" "67.2" "94" "4" " 7. kerület, Erzsébet körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "elektromos" "van" "nem" "egy helyiségben" "északkelet" "udvari" NA "nem" "tetotéri" "utca, közterület - fizetos övezet" NA NA NA
