"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"1" "76.15" "89" "3" " 13. kerület, Dagály Park 1. ütem " "Dagály Park 1. ütem" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nem" "külön és egyben is" "dél" "utcai" "4.79 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.6 M Ft" NA
"2" "68.05" "79" "3" " 13. kerület, Dagály Park 1. ütem " "Dagály Park 1. ütem" "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön és egyben is" "észak" "udvari" "8.4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.6 M Ft" NA
"3" "33.62" "32" "1" " 13. kerület, Dagály Park 1. ütem " "Dagály Park 1. ütem" "új építésu" "2020" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA
"4" "139.5" "107" "4" " 1. kerület, Toldy 19 " "Toldy 19" "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "megújuló energia, mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "délnyugat" "utcai" "11 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA
"5" "22.9" "40" "1" " 13. kerület, Taksony utca 5. " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"6" "33.8" "34" "1" " 13. kerület, Zsinór utca 39. " NA "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "7.43 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA
"7" "87.5" "72" "2" " 7. kerület, Belso-Erzsébetváros " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"8" "63.5" "68" "3" " 7. kerület, Király utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "20 000 Ft/hó"
"9" "57.4" "63" "3" " 13. kerület, Csángó utca 21/B " NA "új építésu" "2020" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "8 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2.9 M Ft" NA
"10" "34.9" "48" "2" " 11. kerület, Fehérvári út " NA "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "9" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "20 000 Ft/hó"
