"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "34.7" "42" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "44.9" "63" "3" " 9. kerület, Bokréta utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "15 000 Ft/hó" "2 m²" NA
"3" "58.9" "53" "2" " 11. kerület, Köbölkút utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "7 000 Ft/hó" NA NA
"4" "53" "93" "4" " 16. kerület, Rákóczi út " "újszeru" "2017" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "15 000 Ft/hó" "6 m²" NA
"5" "60" "89" "3" " 8. kerület, Rákóczi tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "nincs megadva" NA "25 000 Ft/hó" NA NA
"6" "75" "84" "3" " 11. kerület, Kanizsai utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "9 m²" NA
"7" "31.4" "55" "2" " 14. kerület, Ilka utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "házközponti" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "nincs megadva" "nincs" "20 000 Ft/hó" "2 m²" "nincs megadva"
"8" "34.7" "42" "1" " 6. kerület, Bajza utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "36.9" "75" "3" " 18. kerület, Juharos sor " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"10" "60" "88" "4" " 8. kerület, Teleki László tér " "felújított" NA "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "42.8" "52" "2" " 6. kerület, Rózsa utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "29.99" "71" "3" " 15. kerület, Zsókavár utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA "6 m²" "részt vett"
"13" "45.9" "64" "3" " 18. kerület, Krepuska Géza-telep " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "69" "100" "3" " 18. kerület, Csörgofa utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "van" NA "50 m²" NA
"15" "35.9" "77" "3" " 4. kerület, Gárdi Jeno utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló" NA NA "10 m²" NA
"16" "24" "21" "1" " 8. kerület, József körút 42. " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA
"17" "62.6" "68" "3" " 3. kerület, Forrásliget utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "25.2" "47" "2" " 15. kerület, Zsókavár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" "29 999 Ft/hó" NA "részt vett"
