"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"1" "74.9" "103" "3" " 7. kerület, Erzsébet körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "16 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"2" "69.9" "80" "3" " 2. kerület, Szilágyi Erzsébet fasor 13-15. " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "külön és egyben is" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"3" "85.13" "90" "2" " 2. kerület, Bem rakpart " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "77" "110" "5" " 16. kerület, Cserhida utca 21. " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "hoszivattyú" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "igen" "nincs megadva" "udvari beálló - benne van az árban" "24 m²" NA NA
"5" "98.99" "94" "3" " 5. kerület, Honvéd utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"6" "64.9" "97" "3" " 14. kerület, Rózsavölgyi tér " "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "tetotéri" "utca, közterület" NA NA NA
"7" "27.9" "53" "2" " 19. kerület, Kispesti lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés" NA NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA "részt vett" NA
"8" "165" "143" "4" " 2. kerület, Orsó utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "85 000 Ft/hó" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "200 m²" NA NA
"9" "45.9" "80" "3" " 13. kerület, Népfürdo utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "3 m²" "nincs megadva" NA
"10" "73.7" "91" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA
"11" "39.9" "61" "2" " 7. kerület, Rózsa utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "egyéb" "nincs" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA
"12" "60.03" "69" "2" " 3. kerület, Óbuda – Filatorigát " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), házközponti" NA NA "igen" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "7 m²" NA "3.85 M Ft"
