"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "32.5" "48" "1" " 14. kerület, Czobor utca 47. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "47.99" "71" "2" " 8. kerület, Korányi Sándor utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "21" "33" "1" " 22. kerület, Pécsi utca 5. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" "20 000 Ft/hó" NA
"4" "35" "56" "2" " 14. kerület, Gvadányi utca 58. " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "részt vett"
"5" "99" "90" "4" " 6. kerület, Podmaniczky utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA
"6" "80" "85" "2" " 13. kerület, Szent István körút " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "9 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "62.4" "60" "2" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "van" "12 000 Ft/hó" NA
"8" "32" "32" "1" " 13. kerület, Váci út 47/a " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "4" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"9" "33.9" "52" "2" " 11. kerület, Rétköz utca 16. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"10" "47" "68" "2.5" " 13. kerület, Szent László út 71. " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "házközponti" "nem" "külön helyiségben" "nincs megadva" "utcai" "1 m²" "nincs megadva" "tetotéri" "nincs megadva" "van" NA NA
"11" "33" "59" "2" " 14. kerület, Nagy Lajos király útja 139. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" "12 000 Ft/hó" NA
"12" "99.9" "113" "4" " 11. kerület, Péterhegyi köz 23. " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "30" "70" "3" " 20. kerület, Hársfa sétány 17. " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" NA "igen" "nem tetotéri" "utca, közterület" "nincs" "16 000 Ft/hó" "részt vett"
"14" "127.8" "95" "3.5" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" "2014" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "54 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "49" "78" "2" " 9. kerület, Márton utca 28. " "felújított" "1950 elott" "összkomfortos" "C" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "van" NA NA
