"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg"
"1" "88" "80" "3" " 14. kerület, Deés utca 15. " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel, padlófutés" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "20 m²" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "5 M Ft" NA
"2" "40.99" "93" "4" " 23. kerület, Nyír utca 49. " "új építésu" NA "duplakomfortos" "A+" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "15 m²" "igen" "nem tetotéri" "udvari beálló" NA NA
"3" "54.99" "73" "2" " 4. kerület, Csíksomlyó utca 13. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "5 m²" "igen" "nincs megadva" "udvari beálló - kötelezo megvenni" "1.5 M Ft" NA
"4" "359" "131" "3" " 5. kerület, Galamb utca " "felújított" NA "luxus" "nincs megadva" "7" "7" "van" "nincs megadva" "házközponti" "van" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" NA NA
"5" "59.9" "80" "2" " 13. kerület, Felka utca 1. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"6" "96" "104" "4" " 12. kerület, Virányos út 16. " "közepes állapotú" "1950 elott" "luxus" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "délkelet" "kertre nézo" "25 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "45 000 Ft/hó"
"7" "74" "73" "3" " 11. kerület, Pálinkás Antal utca 3. " "új építésu" "2019" "összkomfortos" "BB" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "délkelet" "kertre nézo" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "6 M Ft" NA
"8" "85.5" "114" "3.5" " 13. kerület, Reitter Ferenc utca 165. " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délkelet" "udvari" "4 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"9" "100" "66" "1" " 5. kerület, József Attila utca 16. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "dél" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA
"10" "50.5" "50" "1" " 9. kerület, Vágóhíd utca 3. " "új építésu" "2019" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "13 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.7 M Ft" NA
