"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "epites_eve" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "47.9" "48" "2" " 8. kerület, Rákóczi út " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "27.9" "54" "2" " 22. kerület, Nagytétény " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "10 000 Ft/hó" "4 m²" NA NA NA NA
"3" "59.9" "83" "2" " 2. kerület, Víziváros " "felújítandó" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "49 000 Ft/hó" "4 m²" "1950 elott" NA NA NA
"4" "34.9" "31" "1" " 3. kerület, Vízimolnár utca 1. " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "10 m²" "1981-2000 között" "nincs" "nem vett részt" NA
"5" "26" "51" "2" " 20. kerület, Ábrahám Géza utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "25 000 Ft/hó" "4 m²" "1981-2000 között" "nincs" NA NA
"6" "36.9" "68" "4" " 15. kerület, Korakás park " "felújított" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "8 m²" NA NA "részt vett" NA
"7" "34.99" "60" "3" " 10. kerület, Laposdulo " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "1950-1980 között" "nincs" NA NA
"8" "69.9" "75" "4" " 2. kerület, Kurucles " "felújított" "összkomfortos" "nincs megadva" "félemelet" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "1950-1980 között" "nincs" NA NA
"9" "46.9" "50" "1" " 2. kerület, Török utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "3 m²" "1950 elott" "nincs" NA NA
"10" "68.9" "104" "4" " 4. kerület, Káposztásmegyer – Homoktövis lakópark " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "2001-2010 között" NA NA NA
"11" "79.9" "77" "3" " 3. kerület, Nánási út " "újszeru" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "42 m²" "2001-2010 között" NA NA NA
"12" "29.9" "53" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "1950 elott" NA "nincs megadva" NA
"13" "36.9" "36" "1" " 6. kerület, Izabella utca 85. " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "10 000 Ft/hó" NA "1950 elott" "nincs" NA NA
"14" "19.9" "30" "1" " 10. kerület, Kobánya – Óhegy " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "igen" "nincs megadva" "udvari beálló - benne van az árban" "25 000 Ft/hó" NA "1950-1980 között" NA NA NA
"15" "114.5" "115" "4" " 9. kerület, Ráday utca 57. " "nincs megadva" "duplakomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "igen" "külön és egyben is" "nyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "2020" NA NA "7 M Ft"
