"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "39" "47" "1" " 7. kerület, Dohány utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "10 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "28.9" "35" "1" " 11. kerület, Vásárhelyi Pál utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "30.49" "55" "2" " 8. kerület, Teleki László tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "34" "67" "2" " 4. kerület, Szíjgyártó utca 12. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "64.9" "61" "2" " 3. kerület, Kocsis Sándor út " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "20 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "nincs" "10 m²" "5 M Ft"
"6" "49.9" "45" "2" " 6. kerület, Dessewffy utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"7" "21.5" "27" "1" " 10. kerület, Kobánya – Óhegy " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "félemelet" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" NA "van" "10 m²" NA
"8" "160" "100" "3" " 1. kerület, Várkert rakpart " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"9" "73.9" "84" "2" " 2. kerület, Országút " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "54.9" "88" "3" " 7. kerület, Péterfy Sándor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "45 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs" NA NA
"11" "27" "46" "1" " 14. kerület, Tihany utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "32 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "részt vett" NA NA NA
"12" "43" "69" "2" " 13. kerület, Váci út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "2 m²" NA
"13" "113.5" "131" "4" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "27.99" "51" "2" " 3. kerület, Jendrassik György utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" "van" "3 m²" NA
"15" "44" "49" "1" " 2. kerület, Ady Endre utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "észak" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "23.5" "35" "1" " 15. kerület, Erdokerülo utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "3 m²" NA
"17" "23.5" "29" "1" " 8. kerület, Kiss József utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "48.9" "72" "2" " 9. kerület, Lenhossék utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "48.9" "72" "2" " 9. kerület, Lenhossék utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "56" "60" "2" " 5. kerület, Balaton utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "30 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
