"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "erkely" "panelprogram" "rezsikoltseg"
"1" "91" "100" "3" " 6. kerület, Lovag utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "49.8" "60" "2" " 12. kerület, Hollósy Simon utca " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor), cserépkályha" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "önálló garázs - bérelheto" "25 000 Ft/hó" NA NA NA
"3" "75.9" "117" "3" " 6. kerület, Bajza utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "62.4" "79" "2" " 11. kerület, Kanizsai utca " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület" NA "4.4 m²" NA NA
"5" "47.9" "74" "2" " 11. kerület, Kaptárko utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" NA
"6" "36.9" "55" "2" " 11. kerület, Regos köz " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "8" "8" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "3 m²" "nincs megadva" NA
"7" "39.2" "53" "2" " 11. kerület, Torbágy utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"8" "32" "58" "2" " 11. kerület, Bartók Béla út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "gázkazán" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" NA
"9" "35.9" "63" "2" " 11. kerület, Andor utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "9" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "6 m²" "nincs megadva" NA
"10" "48.5" "70" "3" " 20. kerület, Ady Endre utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "8 m²" NA NA
