"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "22.5" "35" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "44.5" "64" "2" " 21. kerület, Vermes Miklós utca 10. " "új építésu" "2021" "összkomfortos" "AA" "1" "4" "van" "3 m-nél alacsonyabb" "távfutés, padlófutés" "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "8.5 m²" "nem" "nincs megadva" NA "udvari beálló - kötelezo megvenni" "van" "4 M Ft" NA
"3" "27.99" "58" "2" " 4. kerület, Latabár Kálmán utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA
"4" "36.9" "52" "2" " 9. kerület, Ráday utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"5" "255" "273" "6" " 12. kerület, Németvölgyi út " "újszeru" "2012" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA NA
"6" "33.9" "46" "2" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "panorámás" "6.7 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"7" "47.7" "60" "2" " 13. kerület, Frangepán köz " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "1 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"8" "30.1" "70" "2" " 17. kerület, Ferihegyi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA
"9" "19.5" "34" "1" " 4. kerület, Bem utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "van" NA NA
"10" "42.9" "88" "3" " 17. kerület, Rákoshegy – Helikopter lakópark " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "udvari beálló" NA NA NA
"11" "30.9" "48" "2" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "részt vett" "nincs megadva" NA NA "25 000 Ft/hó"
"12" "25.99" "53" "2" " 15. kerület, Drégelyvár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA
"13" "21.8" "35" "1" " 21. kerület, Dunadulo út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "északkelet" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA
"14" "56.9" "80" "2" " 13. kerület, Lehel utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"15" "39.39" "42" "2" " 13. kerület, Kerekes utca 5. " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "északkelet" "utcai" "2 m²" "nem" "nem tetotéri" NA "nincs megadva" NA NA NA
"16" "66.19" "77" "3" " 4. kerület, Tófalva utca " "nincs megadva" "2021" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "megújuló energia" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"17" "102.99" "121" "5" " 4. kerület, Tófalva utca " "nincs megadva" "2021" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"18" "104.9" "154" "3" " 13. kerület, Tátra utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "távfutés" "nem" "külön és egyben is" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "van" NA NA
"19" "25.9" "49" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "3 m²" "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "nincs" NA NA
