"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "60.75" "61" "3" " 14. kerület, Istvánmezei út " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "5 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA
"2" "42.9" "47" "2" " 7. kerület, Százház utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.5 M Ft" "13 000 Ft/hó" NA NA
"3" "69" "78" "3" " 6. kerület, Csengery utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "45 000 Ft/hó" "van" NA
"4" "22.9" "38" "1" " 23. kerület, Szilágyi Dezso utca 54. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA
"5" "76.9" "104" "4" " 8. kerület, Corvin köz " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"6" "29.9" "64" "2" " 8. kerület, Baross utca 125. " "felújított" NA "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA "35 000 Ft/hó" "van" NA
"7" "31.5" "66" "3" " 3. kerület, Miklós utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"8" "39.9" "38" "1" " 1. kerület, Derék utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "van" NA
"9" "39.99" "36" "1" " 9. kerület, Bokréta utca 7-9 " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "40 000 Ft/hó" NA NA
"10" "49.9" "71" "2" " 20. kerület, Vízisport utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" "igen" "külön helyiségben" "dél" "utcai" "8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "van" NA
"11" "29.3" "51" "2" " 8. kerület, Szigony utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "4 m²" "nem" NA "utca, közterület" NA NA "nincs" NA
"12" "37" "68" "2.5" " 15. kerület, Kossuth utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA "50 000 Ft/hó" "nincs" "részt vett"
"13" "27.9" "45" "1" " 19. kerület, Katica utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "nincs megadva" "6 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA
"14" "31" "53" "1" " 14. kerület, Egressy út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "27" "49" "2" " 20. kerület, Topánka utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "25 000 Ft/hó" "van" "nincs megadva"
"16" "20.7" "35" "1" " 18. kerület, Havanna utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "panorámás" "7 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" "nincs megadva"
"17" "25.9" "35" "1" " 14. kerület, Czobor utca 60B " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "11 900 Ft/hó" "nincs" NA
"18" "34.9" "47" "1" " 6. kerület, Bajnok utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA "30 000 Ft/hó" NA NA
"19" "93" "87" "3" " 13. kerület, Népfürdo utca 3/B " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "46.99" "56" "1" " 7. kerület, Rózsa utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "34 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "23 520 Ft/hó" NA NA
