"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "50" "56" "2" " 2. kerület, Bátori László utca 18. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "elektromos, cserépkályha" "van" "nem" "külön helyiségben" "dél" "kertre nézo" "5 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"2" "29.9" "40" "1" " 11. kerület, Szerémi sor " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "23 000 Ft/hó" NA NA
"3" "30.1" "53" "2" " 21. kerület, Zrínyi utca 2. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti, távfutés" "van" "igen" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt" NA
"4" "49" "72" "2" " 8. kerület, Salétrom utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" NA "nem" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"5" "120" "65" "2" " 5. kerület, Kossuth Lajos tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "109" "144" "4" " 3. kerület, Erdoalja út " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "20 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"7" "29.9" "35" "2" " 9. kerület, Dandár utca 24. " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs" "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" "udvari beálló - megvásárolható" "20 000 Ft/hó" NA NA
"8" "85" "93" "3" " 2. kerület, Kánya utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "igen" "külön és egyben is" "dél" "kertre nézo" "16 m²" "igen" "nem tetotéri" "teremgarázs hely" NA NA NA
"9" "109.9" "106" "3" " 11. kerület, Felsohatár utca 2/c " "jó állapotú" "2001-2010 között" "luxus" "AA" "1" "3" "van" "nincs megadva" "házközponti egyedi méréssel, házközponti" "van" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "24 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "65 000 Ft/hó" NA "5 M Ft"
"10" "45.8" "72" "2" " 9. kerület, Mester utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
