"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "103.9" "105" "3" " 2. kerület, Tüske utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "36 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "23 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA
"2" "117" "149" "6" " 8. kerület, Józsefváros – Palotanegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"3" "26.4" "51" "2" " 3. kerület, Hatvany Lajos utca " "felújított" NA "összkomfortos" "CC" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "igen" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA
"4" "74.9" "91" "3" " 2. kerület, Kútföldi utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "8 m²" "nincs megadva" "tetotéri" "teremgarázs hely - benne van az árban" NA NA
"5" "100" "80" "2" " 2. kerület, Józsefhegyi utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "igen" "nincs megadva" "nincs megadva" NA NA
"6" "36.5" "72" "2" " 23. kerület, Szent László utca " "újszeru" "2016" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "10 000 Ft/hó" "igen" "egy helyiségben" "nyugat" "kertre nézo" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"7" "89.99" "90" "3" " 12. kerület, Böszörményi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "14 000 Ft/hó" "nincs megadva" "külön és egyben is" "dél" "panorámás" "8.28 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"8" "34.99" "49" "2" " 3. kerület, Szolo utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "van" NA "igen" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA
"9" "38.7" "51" "2" " 14. kerület, Alsórákos " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" NA "nem" "egy helyiségben" "délkelet" "udvari" "4 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA "4.9 M Ft"
"10" "36.9" "38" "1" " 4. kerület, Munkásotthon utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "padlófutés, elektromos" "nincs" "25 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" "7 m²" "igen" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA
"11" "44.5" "28" "1" " 5. kerület, Garibaldi utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
