"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara"
"1" "28.9" "63" "3" " 21. kerület, Rakéta utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés" "7 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "44.6" "79" "2" " 13. kerület, Angyalföld " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" "1950 elott" "nincs" NA
"3" "47" "40" "1" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
"4" "18.5" "35" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nincs megadva" NA "nincs megadva" "1981-2000 között" "nincs" NA
"5" "27.9" "41" "1" " 11. kerület, Kelenföld " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA
"6" "89" "120" "4" " 3. kerület, Remetehegy " "felújított" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "10 m²" "igen" "nincs megadva" NA "önálló garázs - megvásárolható" "1981-2000 között" NA "6 M Ft"
"7" "29.9" "50" "2" " 8. kerület, Alföldi utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"8" "130.9" "63" "2" " 12. kerület, Orbánhegy " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "12 000 Ft/hó" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "17.53 m²" "igen" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2019" "van" "6.5 M Ft"
"9" "42.9" "63" "2" " 10. kerület, Korösi Csoma sétány " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"10" "40" "41" "1" " 9. kerület, Vaskapu utca 10. " "újszeru" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "20 000 Ft/hó" "igen" "nincs megadva" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" NA "4 M Ft"
"11" "498" "184" "4" " 12. kerület, Svábhegy " "nincs megadva" "nincs megadva" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "20 000 Ft/hó" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "65 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - benne van az árban" "2020" "van" NA
"12" "501" "184" "4" " 12. kerület, Svábhegy " "nincs megadva" "luxus" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, falfutés" "20 000 Ft/hó" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "135 m²" "igen" "nincs megadva" NA "teremgarázs hely - benne van az árban" "2019" "van" NA
"13" "219" "149" "4" " 2. kerület, Zöldmál " "újszeru" "luxus" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" NA "igen" "külön és egyben is" "kelet" "panorámás" "20 m²" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "8 M Ft"
"14" "130" "120" "3" " 1. kerület, Víziváros – Váralja " "felújítandó" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"15" "250" "153" "3" " 6. kerület, Külso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "101 m²" "nincs megadva" "tetotéri" NA "teremgarázs hely" NA "van" NA
"16" "112.45" "173" "5" " 14. kerület, Alsórákos " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "délnyugat" "udvari" "20.3 m²" "nem" "nincs megadva" NA "udvari beálló - benne van az árban" "2019" "van" NA
"17" "99.89" "129" "4" " 7. kerület, Damjanich utca " "felújított" "luxus" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1950 elott" NA NA
