"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "55.1" "68" "2" " 13. kerület, Metropolitan Garden " "Metropolitan Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti, gázkazán" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "4.5 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA NA
"2" "48" "50" "2" " 1. kerület, Pauler utca " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"3" "44.9" "58" "2" " 14. kerület, Kövér Lajos tér " NA "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA NA
"4" "68.3" "67" "2" " 6. kerület, Belso-Terézváros " NA "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "udvari" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "30.9" "44" "1" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "169" "209" "7" " 5. kerület, Haris köz " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"7" "27.88" "55" "2" " 9. kerület, Epreserdo utca " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "utcai" "4.5 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "29.6" "53" "3" " 18. kerület, Havanna lakótelep " NA "felújított" NA "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"9" "48" "50" "2" " 6. kerület, Szinyei Merse Pál utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA "50 000 Ft/hó"
"10" "27.88" "55" "2" " 9. kerület, Epreserdo utca " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "egy helyiségben" "kelet" "utcai" "4 m²" "nem" NA "utca, közterület - ingyenes" NA "nincs" NA "15 000 Ft/hó"
"11" "32.9" "62" "1" " 14. kerület, Hungária körút " NA "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "73.9" "112" "4" " 8. kerület, József körút " NA "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA "12 000 Ft/hó"
"13" "119" "142" "6" " 8. kerület, Múzeum utca " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs" NA "23 000 Ft/hó"
"14" "23.9" "53" "3" " 21. kerület, Petz Ferenc utca 26. " NA "jó állapotú" "1981-2000 között" "összkomfortos" "AA+" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "2 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" "30 000 Ft/hó"
"15" "43.9" "57" "2" " 3. kerület, Sóvári utca " NA "felújítandó" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"16" "26.9" "27" "1" " 3. kerület, Vitorla utca " NA "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "dél" "kertre nézo" "4 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "nem vett részt" "4 000 Ft/hó"
"17" "41.8" "55" "2" " 14. kerület, Jávor utca " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "10 000 Ft/hó"
"18" "24.3" "47" "1" " 18. kerület, Riesz Frigyes utca " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"19" "58" "71" "2" " 7. kerület, Izabella utca " NA "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"20" "69.5" "72" "2" " 2. kerület, Tulipán utca 15. " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
