"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "epites_eve" "legkondicionalo"
"1" "28.9" "58" "2" " 17. kerület, Rákoskeresztúr " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "26 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "32.5" "74" "3" " 17. kerület, Rákoskeresztúri lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "28 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA
"3" "19.85" "52" "2" " 19. kerület, Kossuth Lajos utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "17 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"4" "114" "99" "3" " 6. kerület, Belso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "1950 elott" NA
"5" "28.5" "37" "1" " 3. kerület, Berend utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" NA "nincs megadva" NA "1981-2000 között" NA
"6" "31.5" "42" "2" " 11. kerület, Fegyvernek utca " "felújítandó" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA "1950-1980 között" NA
"7" "41.5" "41" "1" " 2. kerület, Frankel Leó út " "jó állapotú" "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "1 m²" "1950 elott" "nincs"
"8" "35.9" "52" "2" " 3. kerület, Víziorgona utca 3. " "nincs megadva" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti" "10 000 Ft/hó" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "4 m²" NA NA
"9" "43" "35" "1" " 11. kerület, Vincellér utca " "felújított" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "11 375 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA "1950 elott" "van"
"10" "74.9" "105" "3" " 13. kerület, Újlipótváros " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" NA "udvari beálló" NA "1950 elott" NA
