"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"1" "28.5" "37" "1" " 3. kerület, Berend utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "6 400 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" NA NA
"2" "37" "54" "2" " 14. kerület, Balázs utca 29. " "felújított" "1950 elott" "összkomfortos" "AA+" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "15 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"3" "38.5" "45" "1" " 13. kerület, Kerekes utca " "újszeru" "2011" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA
"4" "38.5" "70" "3" " 3. kerület, Kiscelli utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"5" "45.9" "60" "2" " 11. kerület, Boglárka utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "2 m²" "nem vett részt"
"6" "39.2" "53" "2" " 14. kerület, Laky Adolf utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "félemelet" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "38 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "udvari beálló" "4 m²" NA
"7" "29.3" "37" "1" " 1. kerület, Márvány utca 14. " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"8" "23.5" "50" "2" " 23. kerület, Nyír utca " "felújított" "1950-1980 között" "összkomfortos" "FF" "2" "2" "nincs" "3 m-nél alacsonyabb" "egyéb" "van" "35 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "2 m²" NA
"9" "27" "59" "2" " 19. kerület, Jáhn Ferenc utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "igen" "külön helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva"
"10" "89" "148" "4" " 8. kerület, Benyovszky Móric utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"11" "37" "83" "2" " 14. kerület, Ornagy utca 6. " "felújítandó" NA "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"12" "39.9" "61" "2" " 11. kerület, Albert utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA "részt vett"
"13" "23.1" "24" "1" " 13. kerület, Gyöngyház utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA
"14" "74.9" "79" "3" " 6. kerület, Paulay Ede utca 46. " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "31.9" "57" "2" " 15. kerület, Bocskai utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "zárószint" "teremgarázs hely - bérelheto" NA NA
"16" "51.9" "62" "2" " 11. kerület, Fehérvári út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "13 900 Ft/hó" "nincs megadva" "külön és egyben is" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"17" "74.7" "83" "2" " 6. kerület, Révay köz 2. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs" NA "nem" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"18" "38" "53" "2" " 11. kerület, Andor utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "7 m²" "nincs megadva"
"19" "31.8" "50" "2" " 4. kerület, Árpád út " "felújított" NA "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"20" "53" "85" "4" " 13. kerület, Népfürdo utca 21/D " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "45 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nem vett részt"
