"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg"
"1" "19.9" "40" "1" " 21. kerület, Csepel-Csillagtelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "igen" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "39.8" "55" "2" " 3. kerület, Pacsirtamezo utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "6" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" NA NA
"3" "28.9" "30" "1" " 3. kerület, Viador utca 33. " "jó állapotú" NA "összkomfortos" "FF" "2" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"4" "32" "51" "2" " 11. kerület, Kelenföldi lakótelep " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "3 m²" "részt vett" NA
"5" "63.8" "69" "1" " 14. kerület, Pósa Lajos utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "tetotéri" "utca, közterület - ingyenes" "10 m²" NA NA
"6" "27.5" "52" "2" " 3. kerület, Vörösvári út " "jó állapotú" NA "nincs megadva" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "4 m²" "részt vett" "7 700 Ft/hó"
"7" "56.5" "45" "2" " 5. kerület, Nádor utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "33.3" "50" "2" " 13. kerület, Szegedi út 4. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "2 m²" "nincs megadva" NA
"9" "34.9" "31" "1" " 5. kerület, Bécsi utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "40" "75" "4" " 6. kerület, Székely Bertalan utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "utca, közterület" "10 m²" NA NA
