"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "legkondicionalo"
"1" "189.9" "175" "2" " 2. kerület, Görgényi út " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "88" "90" "3" " 1. kerület, Donáti utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "24 000 Ft/hó" NA NA NA
"3" "32.1" "49" "2" " 14. kerület, Kerepesi út " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "4 m²" "részt vett" NA
"4" "59.9" "89" "2" " 14. kerület, Törökor " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "40 000 Ft/hó" "2.4 m²" NA "van"
"5" "38.5" "63" "2" " 9. kerület, Ülloi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs"
"6" "29.9" "37" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs"
"7" "61.1" "64" "3" " 6. kerület, Rózsa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "55.4" "58" "2" " 6. kerület, Rózsa utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "61.59" "56" "3" " 17. kerület, Kaszáló utca " "nincs megadva" "2018" "duplakomfortos" "AA++" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" NA "60.59 m²" NA NA
"10" "61.1" "90" "4" " 17. kerület, Kaszáló utca " "nincs megadva" "2018" "duplakomfortos" "AA++" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "önálló garázs - megvásárolható" NA "90 m²" NA NA
"11" "34.9" "48" "2" " 11. kerület, Kelenföld " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"12" "44.8" "45" "2" " 7. kerület, Hársfa utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "9 000 Ft/hó" NA NA "van"
"13" "71.9" "114" "3" " 3. kerület, Kalászi köz " "újszeru" NA "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "tetotéri" "teremgarázs hely" NA NA NA NA
"14" "119" "220" "8" " 8. kerület, József utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "160 m²" NA NA
"15" "67" "64" "3" " 2. kerület, Zuhany utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"16" "39.8" "68" "2" " 14. kerület, Tábornok utca 3. " "felújított" "1950 elott" "összkomfortos" "EE" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" "12 m²" NA "nincs"
"17" "75" "104" "4" " 6. kerület, Izabella utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "69.9" "137" "4" " 7. kerület, Thököly út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1 m²" NA NA
"19" "54.9" "130" "4" " 7. kerület, Baross tér " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"20" "130" "159" "5" " 6. kerület, Dessewffy utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "zárószint" "nincs megadva" NA NA NA NA
