"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "49.9" "74" "2" " 13. kerület, Tüzér utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"2" "38" "53" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "14 000 Ft/hó" "3 m²" "nincs megadva" NA
"3" "99" "204" "3" " 3. kerület, Ezüsthegy " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" "van" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "20 m²" NA NA
"4" "28.99" "60" "1" " 16. kerület, Árpádföld " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "5 000 Ft/hó" "8 m²" NA NA
"5" "84.9" "73" "2" " 7. kerület, Madách Imre tér " "újszeru" "1950 elott" "luxus" "nincs megadva" "2" "7" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"6" "69.9" "91" "3" " 14. kerület, Alsórákos " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "5" "5" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "penthouse" "önálló garázs - megvásárolható" NA "40 m²" NA "4.5 M Ft"
"7" "65" "59" "2" " 7. kerület, Izabella utca 11. " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "31.99" "65" "2" " 9. kerület, Hentes utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "22.2" "36" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"10" "76.8" "48" "2" " 5. kerület, Kecskeméti utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "padlófutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
