"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "155" "111" "3" " 11. kerület, Gellérthegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "16 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "37" "43" "1" " 6. kerület, Dózsa György út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"3" "34.9" "49" "2" " 3. kerület, Pacsirtamezo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "30 000 Ft/hó" "nincs megadva" NA NA
"4" "150" "90" "3" " 6. kerület, Külso-Terézváros " "újszeru" "2017" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "nyugat" "utcai" "43 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "30" "36" "1" " 14. kerület, Zászlós utca 29-32 " "újszeru" "2017" "összkomfortos" "A" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "északkelet" "nincs megadva" "15 m²" "igen" "nem tetotéri" "teremgarázs hely" "30 000 Ft/hó" NA NA NA
"6" "71.9" "86" "3" " 13. kerület, Dózsa György út 126. " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "van" NA
"7" "99.14" "134" "4" " 12. kerület, Csillebérc " "újszeru" "2015" "duplakomfortos" "AA+" "földszint" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "dél" "panorámás" "25.5 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "36 000 Ft/hó" NA "van" "3.5 M Ft"
"8" "120.96" "131" "4" " 11. kerület, Madárhegy " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "panorámás" "40 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"9" "25.99" "51" "2" " 10. kerület, Kobánya – Óhegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "22 000 Ft/hó" "nincs megadva" NA NA
"10" "25" "29" "1" " 12. kerület, Böszörményi út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
