"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "47" "40" "1" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"2" "70" "79" "2" " 7. kerület, Király utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"3" "45.9" "56" "2" " 6. kerület, Király utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"4" "29.9" "64" "2" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"5" "26.5" "29" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"6" "19.5" "35" "1" " 18. kerület, Havanna-lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"7" "54.9" "56" "2" " 13. kerület, Dolmány utca " "újszeru" "2018" "összkomfortos" "AA" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "panorámás" "67 m²" "nem" "penthouse" "teremgarázs hely - kötelezo megvenni" NA "van" "40 000 Ft/hó" "3 M Ft"
"8" "19" "41" "1" " 20. kerület, Gubacsipuszta " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "17.5" "43" "1" " 21. kerület, Csepel-Csillagtelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "42" "74" "2.5" " 3. kerület, Torma Károly utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "AA" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "utcai" "4 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "nincs" NA NA
