"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "35.9" "44" "1" " 11. kerület, Kelenföld " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "59.9" "47" "2" " 13. kerület, Úszódaru utca " "újszeru" "összkomfortos" "nincs megadva" "3" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "dél" "panorámás" "7.5 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" "4 M Ft" NA NA NA
"3" "39.5" "46" "2" " 8. kerület, Ciprus utca " "újszeru" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "2 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "3.5 M Ft" NA NA NA
"4" "26.9" "34" "1" " 14. kerület, Thököly út 130. " "felújított" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "padlófutés, mennyezeti hutés-futés" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA "nincs" "25 000 Ft/hó" NA
"5" "69.9" "82" "3" " 19. kerület, Kós Károly tér " "újszeru" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "1950 elott" NA "van" "30 000 Ft/hó" NA
"6" "27.5" "31" "1" " 8. kerület, Baross utca 86. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "21.7" "36" "2" " 10. kerület, Laposdulo – Pongrácz úti lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "nincs" NA NA
"8" "25.9" "55" "1" " 3. kerület, Békásmegyeri lakótelep hegy felol " "közepes állapotú" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA "nincs megadva"
"9" "89.9" "125" "6" " 3. kerület, Gémeskút utca " "közepes állapotú" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "kelet" "kertre nézo" "18 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2001-2010 között" "3 M Ft" NA NA NA
"10" "74.9" "88" "3" " 2. kerület, II/A kerület – Remetekertváros " "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "113 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "2018" NA NA NA NA
"11" "350" "290" "4" " 1. kerület, Víziváros – Váralja " "újszeru" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "100 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" "2001-2010 között" NA NA "20 000 Ft/hó" NA
"12" "24.9" "30" "1" " 9. kerület, Vaskapu utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "igen" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "nincs" "30 000 Ft/hó" NA
"13" "25.9" "61" "2" " 8. kerület, Baross utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"14" "27" "65" "2" " 10. kerület, Román utca 12. " "felújítandó" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "2 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA "nincs" "40 000 Ft/hó" NA
"15" "37.7" "65" "2" " 7. kerület, Thököly út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"16" "89.9" "99" "4" " 7. kerület, Kertész utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"17" "30.99" "56" "2" " 7. kerület, Bethlen Gábor utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" NA NA
"18" "85" "90" "2" " 6. kerület, Benczúr utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"19" "51" "67" "2" " 6. kerület, Podmaniczky utca " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs" NA NA
"20" "85.5" "97" "2" " 2. kerület, Országút " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "14 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA NA
