"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara"
"1" "179" "164" "5" " 3. kerület, Harsánylejto " "új építésu" "2019" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "24 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA
"2" "177" "156" "5" " 3. kerület, Turbolya köz " "új építésu" "2019" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "23 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA
"3" "144" "140" "5" " 14. kerület, Jávor utca " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, megújuló energia" "van" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "13.5 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft"
"4" "125" "120" "4" " 14. kerület, Jávor utca " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, megújuló energia" "van" "igen" "külön helyiségben" "nyugat" "udvari" "13 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft"
"5" "61.53" "56" "2" " 1. kerület, Krisztinaváros – Naphegy " "új építésu" "2019" "összkomfortos" "AA++" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "igen" "nincs megadva" "dél" "panorámás" "4 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "6.5 M Ft"
"6" "28.9" "59" "2" " 23. kerület, Soroksár – Vargatelep " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos, padlófutés" "nincs" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA
"7" "59.8" "77" "2.5" " 13. kerület, Angyalföld " "új építésu" "2019" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "4.87 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA
"8" "95.57" "96" "3" " 13. kerület, Kerekes utca " "új építésu" "2019" "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "34 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "3 M Ft"
"9" "99.5" "117" "4" " 13. kerület, Kucsma utca 12. " "új építésu" "2020" "duplakomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "45.25 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "3.9 M Ft"
"10" "66.5" "74" "3" " 13. kerület, Kucsma utca 12. " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "8.12 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.9 M Ft"
"11" "56.5" "66" "3" " 13. kerület, Kucsma utca 12. " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "3.71 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "3.6 M Ft"
"12" "87.5" "106" "4" " 13. kerület, Kucsma utca 12. " "új építésu" "2020" "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "dél" "utcai" "8.24 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA
"13" "79.9" "86" "4" " 13. kerület, Kerekes utca " "új építésu" "2019" "duplakomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3 M Ft"
"14" "70.22" "76" "4" " 13. kerület, Kerekes utca " "új építésu" "2019" "duplakomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "14 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA
"15" "41.41" "44" "2" " 13. kerület, Kerekes utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3 M Ft"
"16" "38.38" "40" "2" " 13. kerület, Kerekes utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA
"17" "42.8" "94" "4" " 23. kerület, Soroksár – Orbánhegy " "új építésu" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "padlófutés, megújuló energia" "nincs" "nem" "egy helyiségben" "nyugat" "kertre nézo" "6 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA
"18" "36.5" "63" "3" " 8. kerület, Losonci tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" NA "utca, közterület - fizetos övezet" NA
"19" "61.99" "80" "2.5" " 13. kerület, Angyalföld " "új építésu" "2020" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "igen" "külön és egyben is" "délkelet" "utcai" "15 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA
"20" "44.5" "29" "1" " 8. kerület, Corvin sétány " "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "kelet" "utcai" "7.22 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA
