"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "27.25" "27" "1" " 7. kerület, Jobbágy utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "89.9" "146" "4" " 13. kerület, Röppentyu utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "78 m²" NA NA NA
"3" "27.9" "30" "1" " 6. kerület, Székely Bertalan utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"4" "48.5" "69" "3" " 3. kerület, Szél utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "40 000 Ft/hó" "nincs megadva" NA
"5" "30.65" "53" "2" " 4. kerület, Latabár Kálmán utca 15. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "részt vett" "nincs"
"6" "57.99" "93" "3" " 9. kerület, Páva utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"7" "69.9" "81" "2" " 8. kerület, Vajdahunyad utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "29 000 Ft/hó" NA NA
"8" "19.9" "40" "1" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "62" "88" "2" " 6. kerület, Szív utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"10" "23.9" "33" "1" " 14. kerület, Istvánmezo " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (konvektor)" "igen" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"11" "29.9" "46" "2" " 14. kerület, Mogyoródi út " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs"
"12" "42.3" "68" "3" " 10. kerület, Gyakorló utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "35 000 Ft/hó" "nincs megadva" "nincs"
"13" "43.5" "87" "2" " 9. kerület, Középso-Ferencváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"14" "14.8" "38" "1" " 20. kerület, Sárrét utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "22.7" "37" "1" " 4. kerület, Erkel Gyula utca 5. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs"
"16" "49.9" "68" "2" " 6. kerület, Szondi utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "zárószint" "utca, közterület" NA NA NA NA
