"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "35" "39" "1" " 11. kerület, Bocskai út 19. " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "55.8" "72" "3" " 22. kerület, Gerinc utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "van" "9 m²" NA NA
"3" "29.9" "35" "1" " 10. kerület, Tavas utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "nincs megadva" NA
"4" "64" "107" "3" " 8. kerület, Népszínház utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "65 000 Ft/hó"
"5" "52.7" "85" "3" " 18. kerület, Örs utca 7. " "újszeru" "2001-2010 között" "összkomfortos" "AA" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "tetotéri" "nincs megadva" NA "3 m²" NA "22 000 Ft/hó"
"6" "26.2" "29" "1" " 12. kerület, Hertelendy utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"7" "29.9" "64" "2" " 15. kerület, Nyírpalota út " "jó állapotú" NA "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel, házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "részt vett" NA
"8" "31.9" "48" "2" " 11. kerület, Tétényi út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "van" "4 m²" "nincs megadva" NA
"9" "20.9" "23" "1" " 3. kerület, Kenyeres utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "22" "35" "1" " 21. kerület, Szent István út 1/c " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "8 000 Ft/hó"
"11" "41.5" "45" "2" " 7. kerület, Vörösmarty utca 4b " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "10 000 Ft/hó"
"12" "61" "98" "2" " 11. kerület, Ballagi Mór utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"13" "41" "62" "2" " 4. kerület, Aradi utca " "felújított" "2001-2010 között" "összkomfortos" "CC" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "tetotéri" "utca, közterület - ingyenes" "van" NA NA "20 000 Ft/hó"
"14" "57.9" "72" "2" " 4. kerület, Csíksomlyó utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "északkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA
"15" "46.5" "62" "2" " 11. kerület, Irinyi József utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" NA "utca, közterület" "nincs" "3 m²" NA NA
"16" "27" "49" "1" " 10. kerület, Kovágó utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "2 m²" "nem vett részt" "25 000 Ft/hó"
