"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "82.36" "66" "3" " 3. kerület, Forest Hill Lakópark " "Forest Hill Lakópark" "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "88 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA NA
"2" "24.9" "42" "1" " 8. kerület, Baross utca " NA "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" "25 000 Ft/hó" NA
"3" "66.5" "70" "3" " 9. kerület, Középso-Ferencváros " NA "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "59.9" "69" "3" " 2. kerület, Törökvész " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "kertre nézo" "4.74 m²" "nem" "nem tetotéri" "teremgarázs hely" NA "nincs" NA NA
"5" "58" "83" "2" " 11. kerület, Szentimreváros " NA "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "26.27" "52" "2" " 9. kerület, Ecseri út " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "9 500 Ft/hó" NA
"7" "97" "128" "5" " 14. kerület, Alsórákos " NA "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "2" "nincs" "3 m-nél alacsonyabb" "padlófutés" "nem" "egy helyiségben" "dél" "kertre nézo" "23.5 m²" "nem" "tetotéri" "teremgarázs hely - benne van az árban" NA "van" NA NA
"8" "94.5" "108" "4" " 14. kerület, Gizella út 20. " NA "nincs megadva" "2019" "duplakomfortos" "AA+" "2" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön és egyben is" "délkelet" "utcai" "14.24 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.8 M Ft" "van" NA NA
"9" "17.49" "41" "1" " 10. kerület, Sörgyár utca " NA "felújítandó" "1950 elott" "félkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA "nincs" NA NA
"10" "39.99" "49" "2" " 12. kerület, Németvölgy " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "kertre nézo" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"11" "29.9" "68" "2" " 10. kerület, Harmat utca " NA "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "10 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" NA NA
"12" "31.9" "52" "2" " 3. kerület, Szolo utca " NA "jó állapotú" NA "összkomfortos" "DD" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA "részt vett"
"13" "119" "91" "3" " 13. kerület, Ditrói Mór utca " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA "van" NA NA
"14" "64" "95" "4" " 13. kerület, Üteg utca " NA "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "5.5 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "3.5 M Ft" NA "50 000 Ft/hó" NA
"15" "139" "130" "3" " 2. kerület, Tölgyfa utca " NA "újszeru" "1981-2000 között" "duplakomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"16" "50" "41" "2" " 12. kerület, Orbánhegy " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "7 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"17" "29.5" "59" "2" " 19. kerület, Kispest-Óváros " NA "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"18" "34.9" "30" "1" " 2. kerület, Bem József utca 7. " NA "újszeru" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "72" "136" "3" " 16. kerület, Cinkota – Ilonatelep " NA "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "kertre nézo" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA "nincs" NA NA
"20" "98" "110" "3" " 2. kerület, II/A kerület – Erzsébetliget " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán, padlófutés" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "18 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA "nincs" NA NA
