"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo"
"11" "35" "74" "2" " 4. kerület, Szíjgyártó utca " "jó állapotú" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" "nincs megadva" "van"
"12" "44.9" "69" "2" " 8. kerület, Baross utca 78. " "felújított" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "10 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"13" "26.2" "53" "2" " 20. kerület, Ritka utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "10 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "nincs"
"14" "39.8" "42" "1" " 12. kerület, Thomán István utca 6. " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "igen" "egy helyiségben" "kelet" "panorámás" "9 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA
"15" "52.9" "86" "3" " 19. kerület, Ady Endre út " "újszeru" "duplakomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gázkazán" NA "nincs megadva" "külön és egyben is" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "2001-2010 között" NA "van"
"16" "30.9" "55" "2" " 15. kerület, Neptun utca " "felújított" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" NA
"17" "34.9" "58" "2" " 8. kerület, Orczy út 11-15 " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "1981-2000 között" "nincs megadva" "nincs"
"18" "26.5" "50" "2" " 10. kerület, Gozmozdony utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" "részt vett" NA
"19" "48" "62" "2" " 2. kerület, Margit körút " "felújított" "nincs megadva" "nincs megadva" "6" "6" "van" "3 m vagy magasabb" "házközponti, gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "7 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van"
"20" "34.4" "48" "1" " 3. kerület, Szolo köz " "felújított" "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "nem vett részt" "nincs"
