"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "245" "150" "4" " 5. kerület, Petofi Sándor utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "31.4" "46" "1" " 4. kerület, Újpest " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA NA
"3" "24.5" "35" "1" " 13. kerület, Szabolcs utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "25 000 Ft/hó" NA NA NA
"4" "26.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA NA
"5" "25.9" "33" "1" " 7. kerület, Szinva utca 1. " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" NA NA NA NA
"6" "89.8" "128" "3" " 2. kerület, Szilágyi Erzsébet fasor " "felújítandó" "összkomfortos" "CC" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950 elott" "30 000 Ft/hó" NA "16 m²" NA
"7" "103.1" "142" "5" " 11. kerület, Sasad " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs - kötelezo megvenni" NA NA NA "24 m²" "4 M Ft"
"8" "149.9" "177" "5" " 5. kerület, Báthory utca " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"9" "76" "104" "2" " 13. kerület, Hegedus Gyula utca " "felújított" "duplakomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" "1950 elott" "16 000 Ft/hó" NA "5 m²" "6 000 Ft/hó"
"10" "66.9" "56" "2" " 8. kerület, Rákóczi út " "jó állapotú" "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"11" "33.49" "40" "2" " 8. kerület, Józsefváros – Magdolnanegyed " "újszeru" "összkomfortos" "nincs megadva" "3" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "északnyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület" "2001-2010 között" NA NA "5 m²" NA
"12" "239.9" "182" "5" " 12. kerület, Béla király út " "újszeru" "luxus" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "2001-2010 között" NA NA "64 m²" NA
"13" "74.9" "62" "2" " 2. kerület, Zsíroshegyi út " "újszeru" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "2001-2010 között" NA NA "17 m²" NA
"14" "48.58" "59" "2" " 3. kerület, Kocsis Sándor út 4. " "új építésu" "összkomfortos" "AA++" "földszint" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, gázkazán" "van" "igen" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA NA "12.4 m²" "4 M Ft"
"15" "79.23" "76" "3" " 3. kerület, Kocsis Sándor út 6. " "új építésu" "duplakomfortos" "AA++" "4" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, gázkazán" "van" "igen" "külön és egyben is" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA NA "57.48 m²" "4 M Ft"
"16" "38.5" "56" "2" " 15. kerület, Rákospalota " "újszeru" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" NA NA "6 m²" NA
"17" "55.9" "57" "1" " 13. kerület, Jászai Mari tér " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "28 000 Ft/hó" NA NA NA
