"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "133" "101" "4" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "110.3" "89" "4" " 5. kerület, Magyar utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "45 000 Ft/hó" NA NA NA
"3" "177.7" "91" "3" " 11. kerület, Gellérthegy " "nincs megadva" "2019" "luxus" "AA++" "nincs megadva" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "22 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "van" "7.8 M Ft" NA
"4" "52.9" "90" "3" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "44.99" "60" "2" " 13. kerület, Vizafogó lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"6" "86" "73" "3" " 5. kerület, Bajcsy-Zsilinszky út " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "30 000 Ft/hó" "van" NA NA
"7" "46.8" "66" "3" " 14. kerület, Jávorka Ádám utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "3 m²" "nem" "nincs megadva" "teremgarázs hely - bérelheto" "15 000 Ft/hó" NA "20 000 Ft/hó" NA
"8" "48.5" "64" "2" " 6. kerület, Lovag utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"9" "25.5" "40" "1" " 7. kerület, Dózsa György út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA
"10" "67.9" "88" "3" " 9. kerület, Mester utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"11" "34.9" "41" "1" " 8. kerület, Német utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "31.7" "43" "2" " 4. kerület, Kiss János utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"13" "24.5" "35" "1" " 10. kerület, Gyakorló utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délkelet" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"14" "69.9" "117" "4" " 8. kerület, Pál utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "van" NA NA
"15" "37.9" "39" "1" " 13. kerület, Szent István park " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"16" "55.7" "68" "2" " 4. kerület, Kiss János utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északnyugat" "kertre nézo" "20.42 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"17" "63.49" "82" "3" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "45.1" "58" "2" " 4. kerület, Kiss János utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "11 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"19" "35.4" "46" "2" " 4. kerület, Kiss János utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "7.5 m²" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA NA
"20" "17.9" "34" "1" " 8. kerület, Diószegi Sámuel utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "elektromos, gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
