"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg"
"1" "53.79" "53" "2" " 3. kerület, Forest Hill Lakópark " "Forest Hill Lakópark" "új építésu" "2020" "nincs megadva" "CC" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északnyugat" "udvari" "17.98 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA
"2" "46.5" "53" "1" " 3. kerület, Óbuda – Filatorigát " NA "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "délkelet" "kertre nézo" "7.2 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "64.9" "97" "2" " 7. kerület, Rózsa utca " NA "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA
"4" "18.8" "37" "1" " 20. kerület, Vas Gereben utca " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "nem" "egy helyiségben" "délnyugat" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "10 000 Ft/hó"
"5" "99" "90" "3" " 7. kerület, Kürt utca " NA "újszeru" "1950 elott" "luxus" "DD" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA
"6" "61.9" "97" "3" " 8. kerület, Szuz utca " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "36.9" "50" "3" " 14. kerület, Alsórákos " NA "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "hoszivattyú" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "3.3 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"8" "31.8" "37" "1" " 13. kerület, Váci út " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó"
"9" "60" "61" "2" " 11. kerület, Madárhegy " NA "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "19 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4.5 M Ft" NA NA
"10" "89" "90" "3" " 2. kerület, II/A kerület – Pesthidegkút-Ófalu " NA "újszeru" "2018" "luxus" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "nem" "egy helyiségben" "dél" "panorámás" "16 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA "van" NA
"11" "54.78" "83" "3" " 15. kerület, Bethlen Gábor utca " NA "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "22 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA "nincs" NA
"12" "49.99" "51" "2" " 13. kerület, Petneházy utca 68. " NA "új építésu" "2018" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.25 M Ft" "van" NA
"13" "89" "65" "3" " 13. kerület, Loportár utca 12. " NA "újszeru" "2018" "nincs megadva" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "panorámás" "80 m²" "igen" "penthouse" "teremgarázs hely - kötelezo megvenni" "4 M Ft" "van" NA
"14" "32.49" "52" "2" " 10. kerület, Kobánya – Óhegy " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "északnyugat" "utcai" "4.5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "13 000 Ft/hó"
"15" "152.3" "105" "4" " 1. kerület, Márvány 20 Residences " "Márvány 20 Residences" "új építésu" "2019" "luxus" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "panorámás" "19.7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "6 M Ft" "van" NA
"16" "128.6" "94" "3" " 1. kerület, Márvány 20 Residences " "Márvány 20 Residences" "új építésu" "2019" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "utcai" "7.9 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "6 M Ft" "van" NA
"17" "103.7" "84" "4" " 1. kerület, Márvány 20 Residences " "Márvány 20 Residences" "új építésu" "2019" "duplakomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "utcai" "11.7 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "6 M Ft" "van" NA
"18" "69.9" "61" "3" " 11. kerület, Kelenhegyi út 45. " NA "nincs megadva" NA "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "10 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA
"19" "44.9" "95" "2" " 8. kerület, Baross utca 98. " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "158" "151" "3" " 6. kerület, Zichy Jeno utca " NA "újszeru" NA "luxus" "nincs megadva" "5" "5" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "59 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
