"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "63.9" "64" "3" " 8. kerület, Tisztviselotelep " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "1 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA
"2" "69" "68" "3" " 13. kerület, Hegedus Gyula utca 89/B " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "6" "9" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "40 000 Ft/hó" "5 M Ft" NA
"3" "45" "43" "2" " 9. kerület, Mester utca " "újszeru" "2001-2010 között" "összkomfortos" "CC" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "utcai" "33 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA "4 M Ft" NA
"4" "31.5" "37" "1" " 3. kerület, Szépvölgyi út 27. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "135" "168" "7" " 13. kerület, Angyalföld " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "76 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA NA "4.5 M Ft" NA
"6" "79" "78" "3" " 11. kerület, Törökbálinti út " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "8 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "15 000 Ft/hó" NA NA
"7" "105" "82" "2" " 7. kerület, Klauzál tér 16. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "délnyugat" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület" "van" "12 000 Ft/hó" NA NA
"8" "23.9" "36" "1" " 15. kerület, Nyírpalota út 21. " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA "részt vett"
"9" "41.05" "31" "2" " 8. kerület, Józsefváros – Corvinnegyed " "nincs megadva" "2020" "összkomfortos" "AA+" "1" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "dél" "udvari" "13 m²" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA NA
"10" "22.9" "35" "1" " 18. kerület, Csontváry Kosztka Tivadar utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
