"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "41.5" "48" "1" " 13. kerület, Béke utca 117. " "újszeru" "2011" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "62.9" "78" "3" " 2. kerület, Tárogató út " "nincs megadva" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "önálló garázs" "van" NA NA NA
"3" "34.9" "47" "1" " 13. kerület, Fivér utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "21.8" "35" "1" " 4. kerület, Árpád út " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA NA
"5" "27.5" "72" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"6" "115.5" "123" "2" " 12. kerület, Mártonhegy " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "kelet" "panorámás" "12 m²" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"7" "42.9" "53" "2" " 14. kerület, Szugló utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "külön helyiségben" "dél" "udvari" "30 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "van" NA "25 000 Ft/hó" NA
"8" "32.9" "58" "2" " 7. kerület, Dembinszky utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "31.5" "53" "2" " 21. kerület, Csepel-Királymajor " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "udvari beálló - megvásárolható" "van" NA NA "1 M Ft"
"10" "28.9" "54" "3" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "nincs" "részt vett" NA NA
