"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "43" "47" "2" " 11. kerület, Bartók Béla út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "58.9" "85" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"3" "30" "53" "3" " 4. kerület, Újpesti lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" "nincs megadva" NA NA NA
"4" "44.99" "57" "2" " 11. kerület, Ormezo " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2 m²" NA NA NA NA
"5" "36" "38" "1" " 16. kerület, Gesztenye utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"6" "24" "27" "1" " 7. kerület, István utca 47. " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "van" NA NA
"7" "41.99" "50" "2" " 6. kerület, Belso-Terézváros " "jó állapotú" NA "komfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "van" NA NA
"8" "52" "80" "4" " 16. kerület, Délceg utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "panorámás" "igen" "tetotéri" "teremgarázs hely - benne van az árban" "3 m²" NA "van" NA NA
"9" "33" "39" "1" " 8. kerület, Krúdy utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "21.9" "28" "1" " 13. kerület, Rokolya utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" "12 000 Ft/hó" NA
"11" "26.5" "59" "2" " 19. kerület, Kispesti lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "nem vett részt" "nincs" NA NA
"12" "23.9" "41" "1" " 13. kerület, Visegrádi utca 103. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "40 000 Ft/hó" NA
"13" "48.5" "74" "2" " 11. kerület, Torbágy utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA NA NA
"14" "39" "62" "3" " 3. kerület, Tavasz utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nem" NA "utca, közterület" "4 m²" NA "nincs" NA NA
"15" "32.9" "38" "1" " 14. kerület, Erzsébet királyné útja " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "45.9" "48" "1" " 9. kerület, Erno utca 11-13 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "20 000 Ft/hó" NA
"17" "20.5" "29" "1" " 10. kerület, Gergely utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "25 000 Ft/hó" NA
"18" "55.6" "52" "2" " 2. kerület, Víziváros " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "udvari beálló - bérelheto" "3.64 m²" NA "van" "28 000 Ft/hó" "5 000 Ft/hó"
"19" "41.53" "50" "2" " 13. kerület, Béke tér " "újszeru" "2011" "összkomfortos" "nincs megadva" "nincs megadva" "6" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "nincs megadva" "nyugat" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "9 m²" NA NA NA NA
