"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "45.9" "58" "3" " 6. kerület, Eötvös utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "73.9" "55" "2" " 6. kerület, Teréz körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"3" "42.9" "82" "2" " 7. kerület, Csengery utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "50" "63" "1" " 13. kerület, Újlipótváros – Cézárház " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"5" "42" "55" "2" " 14. kerület, Jávorka Ádám utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "önálló garázs - megvásárolható" NA "10 m²" "5 M Ft" NA NA
"6" "41.95" "52" "1" " 9. kerület, Ülloi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"7" "35.9" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "nincs megadva" "nincs" NA NA "20 000 Ft/hó" "nem vett részt"
"8" "99.8" "71" "3" " 5. kerület, Belgrád rakpart " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"9" "37.4" "44" "1" " 7. kerület, Nefelejcs utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"10" "75.99" "109" "4" " 13. kerület, Újlipótváros " "felújított" NA "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "padlófutés" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "van" "3 m²" NA NA NA
"11" "30" "42" "2" " 8. kerület, Fecske utca " "jó állapotú" "1950 elott" "összkomfortos" "AA" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA "40 000 Ft/hó" NA
"12" "149.9" "135" "4" " 2. kerület, Pasarét " "újszeru" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "van" "7 m²" NA NA NA
"13" "24.2" "35" "1" " 19. kerület, Irányi Dániel utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" NA NA NA "nem vett részt"
"14" "42.9" "82" "3" " 7. kerület, Csengery utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "nincs megadva" "nincs" NA NA NA NA
"15" "12.5" "13" "1" " 20. kerület, Nagysándor József utca 33. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "3 000 Ft/hó" NA
"16" "40.5" "34" "1" " 7. kerület, Károly körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA NA
"17" "42.9" "82" "2" " 7. kerület, Csengery utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
