"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "85" "97" "3" " 7. kerület, Barcsay utca 11. " "felújított" "1950-1980 között" "luxus" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "121.9" "156" "4" " 3. kerület, Erdoalja út 184. " "új építésu" "2020" "komfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "nem" "külön és egyben is" "nincs megadva" "panorámás" "igen" "nincs megadva" "önálló garázs - benne van az árban" "10 m²" NA NA NA NA
"3" "50.08" "67" "2" " 7. kerület, Király utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "173" "189" "6" " 5. kerület, Szent István körút " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön és egyben is" "északkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "nincs megadva" "2.4 m²" "38 000 Ft/hó" NA NA NA
"5" "81" "79" "2" " 2. kerület, Margit körút " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"6" "43.9" "68" "2" " 6. kerület, Kmety György utca 20. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "11 700 Ft/hó" NA NA NA
"7" "65.9" "69" "3" " 2. kerület, Újlak " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "2 m²" NA NA NA NA
"8" "63.5" "72" "2" " 2. kerület, Keleti Károly utca " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"9" "34.9" "48" "2" " 11. kerület, Albertfalva " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA NA
"10" "27.9" "31" "1" " 3. kerület, Testvérhegy " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA NA
