"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "40" "55" "2" " 13. kerület, Vizafogó " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "49" "60" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "5" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "13 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"3" "164.1" "148" "4" " 11. kerület, Beléndek utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön és egyben is" "délkelet" "kertre nézo" "62 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "2.5 M Ft" NA NA
"4" "31" "25" "1" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "53" "46" "2" " 13. kerület, Párta köz " "újszeru" "2017" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület" NA NA "25 000 Ft/hó" NA
"6" "27.9" "64" "2" " 15. kerület, Páskomliget utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"7" "96.4" "90" "3" " 11. kerület, Beléndek utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nem" "külön és egyben is" "dél" "kertre nézo" "28 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "2.5 M Ft" NA NA
"8" "135.8" "109" "4" " 11. kerület, Beléndek utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nem" "külön és egyben is" "délkelet" "panorámás" "87 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "2.5 M Ft" NA NA
"9" "71.9" "70" "2" " 7. kerület, Damjanich utca 51. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "30 000 Ft/hó" NA
"10" "92.2" "87" "3" " 11. kerület, Beléndek utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nem" "külön helyiségben" "dél" "kertre nézo" "27 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "2.5 M Ft" NA NA
"11" "89.9" "115" "4" " 9. kerület, Ráday utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "69.88" "80" "3" " 6. kerület, Aradi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "30 000 Ft/hó" NA
"13" "158.4" "140" "4" " 11. kerület, Beléndek utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön és egyben is" "délkelet" "kertre nézo" "59 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "2.5 M Ft" NA NA
"14" "34.9" "78" "2" " 1. kerület, Úri utca " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"15" "131.1" "104" "4" " 11. kerület, Beléndek utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nem" "külön és egyben is" "délkelet" "panorámás" "82 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "2.5 M Ft" NA NA
"16" "39.9" "60" "3" " 9. kerület, Ülloi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "26.9" "52" "2" " 3. kerület, Óbudai lakótelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"18" "34.94" "54" "2" " 14. kerület, Angol utca " "nincs megadva" "1950-1980 között" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"19" "62.8" "104" "2" " 8. kerület, Rákóczi út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "79.9" "90" "3" " 5. kerület, Báthory utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
