"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "34.9" "39" "1" " 8. kerület, Százados út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "2 m²" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"2" "179" "113" "3" " 3. kerület, Óarany utca " "új építésu" "2020" "luxus" "nincs megadva" "nincs megadva" "2" "nincs" "nincs megadva" "hoszivattyú" NA "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "70 m²" "nincs megadva" "penthouse" "önálló garázs - benne van az árban" NA NA NA
"3" "37.9" "45" "2" " 8. kerület, Baross utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "79.9" "56" "2" " 5. kerület, Akadémia utca " "felújított" NA "luxus" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "75.9" "94" "3" " 2. kerület, Felhévíz " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "26.6" "30" "1" " 7. kerület, Izabella utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "29.9" "46" "1" " 15. kerület, Illyés Gyula utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "van" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2.5 M Ft" NA NA
"8" "26.9" "53" "2" " 15. kerület, Nádastó park " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA
"9" "31.9" "25" "1" " 7. kerület, Kertész utca 42-44 " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "egyéb kazán" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "23.9" "35" "1" " 15. kerület, Pestújhely " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "egy helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" NA
"11" "110" "116" "3" " 1. kerület, Tabán " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön és egyben is" "nyugat" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA
"12" "56.9" "90" "3" " 7. kerület, Rottenbiller utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA "21 000 Ft/hó"
"13" "49.9" "63" "2" " 2. kerület, Országút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti" NA "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "26.99" "32" "1" " 8. kerület, Magdolna utca 35. " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" "5.5 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"15" "56.9" "63" "2" " 13. kerület, Mura utca " "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "7.5 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"16" "49.99" "69" "3" " 2. kerület, Zöldlomb utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "6 m²" "nincs megadva" NA "nincs megadva" NA NA NA
"17" "43.9" "58" "2" " 2. kerület, Fillér utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"18" "54.99" "77" "3" " 7. kerület, Hevesi Sándor tér " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "69.9" "77" "2" " 5. kerület, Október 6. utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
