"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "81.14" "91" "4" " 11. kerület, Semiramis Garden " "Semiramis Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "20.16 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"2" "22.49" "26" "1" " 8. kerület, Baross utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "van" "igen" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "64.7" "67" "2" " 6. kerület, Liszt Ferenc tér 6. " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "58.9" "55" "2" " 6. kerület, Székely Mihály utca " NA "felújított" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "94.9" "121" "3" " 5. kerület, Bajcsy-Zsilinszky út " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"6" "99" "53" "2" " 5. kerület, Október 6. utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"7" "55" "72" "3" " 13. kerület, Radnóti Miklós utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"8" "147.9" "90" "3" " 6. kerület, Anker köz 2-4 " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "66.77" "88" "3" " 9. kerület, Ráday utca " NA "jó állapotú" NA "komfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "33.8" "60" "2" " 23. kerület, Soroksár – Orbánhegy " NA "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"11" "27.9" "60" "2" " 23. kerület, Soroksár – Orbánhegy " NA "új építésu" "2020" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"12" "57.5" "72" "2" " 2. kerület, Retek utca " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "19 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"13" "58.2" "83" "3" " 14. kerület, Róna utca " NA "új építésu" "2020" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön és egyben is" "délnyugat" "panorámás" "4 m²" "nincs megadva" "zárószint" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"14" "74.9" "63" "3" " 11. kerület, Rodostó utca 4. " NA "nincs megadva" "2019" "luxus" "CC" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, nincs" "van" "nem" "külön helyiségben" "délkelet" "kertre nézo" "15 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.9 M Ft" NA NA
"15" "39.9" "73" "2" " 13. kerület, Tisza utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"16" "30.8" "58" "2" " 9. kerület, Ülloi út " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"17" "69.8" "95" "3" " 14. kerület, Alsórákos " NA "újszeru" "2001-2010 között" "összkomfortos" "A" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "délkelet" "panorámás" "11 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA "40 000 Ft/hó"
"18" "32" "37" "1" " 14. kerület, Alsórákos " NA "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"19" "34.9" "31" "1" " 8. kerület, Szerdahelyi utca " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "teremgarázs hely - bérelheto" "17 500 Ft/hó" NA NA
