"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "98.6" "94" "3" " 13. kerület, Vizafogó sétány " "nincs megadva" "2015" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" "48 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "44.9" "36" "1" " 3. kerület, Nánási út 2. " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "9 m²" "igen" "nem tetotéri" "nincs megadva" NA NA NA
"3" "34.24" "37" "1" " 7. kerület, Csengery utca " "jó állapotú" NA "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), padlófutés" "nincs" "nem" "külön helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"4" "44.85" "71" "2" " 14. kerület, Thököly út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"5" "42" "49" "2" " 14. kerület, Szederkény utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délnyugat" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"6" "29.9" "40" "1" " 8. kerület, Gutenberg tér " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"7" "74.9" "70" "2" " 2. kerület, Keleti Károly utca " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "van" "nem" "külön és egyben is" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"8" "25.9" "49" "2" " 4. kerület, Újpest " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nem" "külön helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"9" "295" "158" "4" " 2. kerület, Rózsadomb " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "van" "nem" "külön helyiségben" "délnyugat" "panorámás" "27 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "10 M Ft" NA NA
"10" "38.9" "70" "2" " 14. kerület, Kerepesi út 76/B " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "távfutés" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "35 000 Ft/hó" NA
