"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "34.9" "71" "3" " 4. kerület, István út " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "64.9" "80" "2" " 2. kerület, Víziváros " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön és egyben is" "dél" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" "nincs" NA NA
"3" "50" "81" "4" " 10. kerület, Ihász utca 7. " "felújított" "duplakomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "1950 elott" NA "14 000 Ft/hó" NA
"4" "29.9" "64" "1" " 14. kerület, Róna utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA NA
"5" "32.5" "57" "2" " 8. kerület, Teleki László tér " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"6" "22.49" "27" "1" " 8. kerület, Baross utca " "felújított" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"7" "49.7" "51" "2" " 12. kerület, Hertelendy utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"8" "36.9" "54" "2" " 14. kerület, Angol utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület" "1950-1980 között" NA NA NA
"9" "13.4" "25" "1" " 23. kerület, Templom utca " "jó állapotú" "összkomfortos" "EE" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "5 m²" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "1950-1980 között" NA NA NA
"10" "139.9" "105" "3" " 5. kerület, Markó utca " "felújított" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA "van" NA NA
