"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "30.5" "49" "2" " 11. kerület, Menyecske utca 27. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "8 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes"
"2" "45.9" "44" "2" " 8. kerület, Bauer Sándor utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"3" "22.4" "36" "1" " 21. kerület, Rakéta utca 16. " "újszeru" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gázkazán" "van" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes"
"4" "60" "58" "2" " 7. kerület, Dohány utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"5" "39.9" "90" "3" " 8. kerület, Józsefváros – Orczynegyed " "felújítandó" NA "komfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "2.6 m²" "nincs megadva" "nincs megadva" NA "utca, közterület"
"6" "54.25" "68" "3" " 8. kerület, Józsefváros – Orczynegyed " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön és egyben is" "északnyugat" "utcai" "6.9 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes"
"7" "84" "134" "4" " 5. kerület, Semmelweis utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"8" "45.9" "46" "1" " 11. kerület, Somlói út " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"9" "43.9" "49" "2" " 11. kerület, Temesvár utca 4. " "jó állapotú" "1950 elott" "összkomfortos" "CC" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "15 000 Ft/hó" "nem" "egy helyiségben" "dél" "utcai" "2 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes"
"10" "37.4" "56" "2" " 13. kerület, Frangepán utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "16.6 m²" "nincs megadva" "nincs megadva" NA "nincs megadva"
"11" "27.5" "46" "2" " 15. kerület, Illyés Gyula utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva"
"12" "41.5" "58" "2" " 14. kerület, Bolgárkerék utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "utca, közterület"
"13" "31.4" "38" "1" " 22. kerület, Játék utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes"
"14" "37.9" "45" "2" " 6. kerület, Külso-Terézváros " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"15" "74.8" "67" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"16" "38" "53" "2" " 11. kerület, Fehérvári út " "felújított" NA "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva"
"17" "33" "39" "1" " 6. kerület, Mozsár utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"18" "50" "86" "3" " 7. kerület, István utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "70 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" NA "nincs megadva"
"19" "32" "49" "1" " 22. kerület, Vihar utca 7. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" NA NA "utca, közterület - ingyenes"
"20" "27.35" "27" "1" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
