"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "36.9" "34" "1" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "162.4" "112" "4" " 5. kerület, Veres Pálné utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.5 m²" NA NA NA
"3" "140" "91" "4" " 5. kerület, Veres Pálné utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" NA NA NA
"4" "49" "55" "2" " 11. kerület, Móricz Zsigmond körtér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "nincs megadva" "3 m vagy magasabb" "egyéb" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"5" "29.9" "69" "2" " 18. kerület, Krepuska Géza-telep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nem" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "nincs" "részt vett" NA
"6" "25.9" "63" "3" " 12. kerület, Németvölgy " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA "30 000 Ft/hó"
"7" "68" "113" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "30 000 Ft/hó"
"8" "54" "75" "3" " 12. kerület, Krisztinaváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északnyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "8 m²" "nincs" NA "30 000 Ft/hó"
"9" "49.5" "50" "1" " 5. kerület, Lipótváros " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA "20 000 Ft/hó"
"10" "38.4" "55" "2" " 9. kerület, Lónyay utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "149.6" "109" "4" " 2. kerület, II/A kerület – Budaliget " "újszeru" "2020" "luxus" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "43 m²" "van" NA NA
"12" "60.03" "46" "2" " 2. kerület, II/A kerület – Budaliget " "újszeru" "2020" "luxus" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "8 m²" "van" NA NA
"13" "85.14" "67" "3" " 2. kerület, II/A kerület – Budaliget " "újszeru" "2020" "luxus" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "29 m²" "van" NA NA
"14" "31" "53" "2" " 22. kerület, Budatétény – Rózsakert utcai lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "2 m²" NA "részt vett" "12 000 Ft/hó"
"15" "45.9" "71" "2" " 16. kerület, Fohadnagy utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "házközponti" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "3 m²" NA NA NA
"16" "68" "108" "3" " 6. kerület, Bajza utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"17" "168" "160" "5" " 12. kerület, Böszörményi út " "felújított" NA "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nem" "tetotéri" "utca, közterület - fizetos övezet" "25 m²" "van" NA NA
"18" "34" "34" "2" " 12. kerület, Krisztinaváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "25.5" "35" "1" " 4. kerület, Újpest " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"20" "139.9" "125" "3" " 8. kerület, Bródy Sándor utca " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
