"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "77.9" "91" "4" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "11 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"2" "45.9" "45" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"3" "45.9" "46" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"4" "25.5" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "részt vett" NA
"5" "59.9" "110" "4" " 3. kerület, Csillaghegy " "jó állapotú" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor), elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "8 m²" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA
"6" "45" "52" "2" " 13. kerület, Lehel utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (konvektor), elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "utca, közterület" NA "30 000 Ft/hó"
"7" "45" "63" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"8" "45.9" "46" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"9" "45.9" "46" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"10" "42.9" "45" "1" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"11" "65" "65" "2" " 22. kerület, Kossuth Lajos utca 68. " "nincs megadva" "2019" "összkomfortos" "AA+" "földszint" "4" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "délnyugat" "udvari" "14 m²" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA
"12" "24.5" "27" "1" " 9. kerület, Ifjúmunkás utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"13" "28.5" "53" "2" " 3. kerület, Hadrianus utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "6" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "35 000 Ft/hó"
"14" "59.9" "66" "3" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "nyugat" "utcai" "11 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"15" "44.9" "45" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"16" "44.9" "46" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"17" "45.6" "42" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "nincs megadva" "kelet" "kertre nézo" "71 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA
"18" "65.8" "51" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "nincs megadva" "délnyugat" "kertre nézo" "157 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA
"19" "32" "44" "1" " 13. kerület, Csángó utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"20" "39.8" "38" "1" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "nincs megadva" "délnyugat" "kertre nézo" "49 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA
