"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "59.9" "56" "2" " 13. kerület, Hegedus Gyula utca " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "3.6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "27.6" "60" "2" " 4. kerület, Nyár utca " "felújítandó" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" "nincs megadva" NA NA NA
"3" "64.9" "59" "3" " 6. kerület, Bajcsy-Zsilinszky út 5. " "felújított" "nincs megadva" "nincs megadva" "félemelet" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA NA
"4" "48.8" "74" "2" " 6. kerület, Szófia utca " "jó állapotú" "komfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"5" "36.5" "34" "1" " 13. kerület, Jakab József utca 15. " "új építésu" "luxus" "AA+" "4" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "6 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA "van" "3.5 M Ft" NA
"6" "169" "81" "3" " 7. kerület, Dohány utca " "felújított" "luxus" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA "van" NA NA
"7" "29.9" "65" "2" " 8. kerület, Baross utca 125. " "felújított" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA NA
"8" "38" "34" "1" " 3. kerület, Kiscelli utca " "újszeru" "luxus" "AA" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "2001-2010 között" NA "van" "6 M Ft" "13 200 Ft/hó"
"9" "64.2" "68" "3" " 2. kerület, Hidegkúti út " "újszeru" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel, gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "23 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" NA "nincs" NA NA
"10" "33.88" "31" "1" " 7. kerület, Cserhát utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "fan-coil, elektromos" "nem" "egy helyiségben" "délnyugat" "udvari" "6 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "van" NA NA
