"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "37.9" "40" "1" " 6. kerület, Izabella utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "elektromos" "nincs" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "28" "36" "1" " 7. kerület, Dembinszky utca 37. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északkelet" "udvari" "nem" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "49" "57" "2" " 9. kerület, Páva utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "4 m²" NA NA NA
"4" "145" "110" "4" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "1950 elott" "luxus" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "43.6" "36" "1" " 13. kerület, Visegrádi utca 26. " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gázkazán" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "22 m²" "30 000 Ft/hó" NA NA
"6" "52" "62" "2" " 6. kerület, Ó utca 4. " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"7" "38.5" "47" "2" " 9. kerület, Viola utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "114.9" "72" "3" " 1. kerület, Hunyadi János út " "felújított" NA "luxus" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "nem" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "20 000 Ft/hó" NA NA
"9" "21.99" "35" "1" " 18. kerület, Havanna utca 67. " "felújított" NA "nincs megadva" "nincs megadva" "8" "10" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" "20 000 Ft/hó" "nincs megadva" NA
"10" "22.9" "29" "1" " 13. kerület, Göncöl utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "2 m²" "15 000 Ft/hó" NA NA
"11" "59.9" "81" "3" " 14. kerület, Telepes utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "22 m²" "14 700 Ft/hó" NA "3.5 M Ft"
"12" "56.9" "52" "2" " 13. kerület, Hegedus Gyula utca 13. " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "távfutés" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"13" "40.9" "54" "2" " 14. kerület, Báróczy utca 15/a " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "5 m²" NA NA NA
"14" "27.5" "47" "2" " 18. kerület, Kinizsi Pál utca 3. " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti, elektromos" "van" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" "35 000 Ft/hó" NA NA
"15" "44.9" "47" "1" " 7. kerület, Kertész utca 46. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "kelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "28 000 Ft/hó" NA NA
"16" "74.9" "118" "4.5" " 8. kerület, Rákóczi út 47. " "újszeru" NA "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "padlófutés, gázkazán" NA "igen" "külön és egyben is" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "20 922 Ft/hó" NA NA
"17" "39.9" "53" "2" " 14. kerület, Emma köz " "felújított" NA "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA NA NA
"18" "33.5" "59" "2" " 19. kerület, Széchenyi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"19" "48.5" "48" "2" " 11. kerület, Rahó utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "3" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"20" "21.9" "35" "1" " 18. kerület, Havanna utca 29. " "felújított" NA "nincs megadva" "nincs megadva" "10" "több mint 10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "20 000 Ft/hó" "nincs megadva" NA
