"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "69.9" "98" "2" " 8. kerület, Somogyi Béla utca 20. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "34.5" "50" "1" " 14. kerület, Egyenes utca 8. " "jó állapotú" "2001-2010 között" "nincs megadva" "CC" "1" "7" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "udvari beálló - kötelezo megvenni" "van" "2.5 M Ft" NA NA
"3" "23" "31" "1" " 14. kerület, Ilka utca " "jó állapotú" "1950 elott" "összkomfortos" "E" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "25 000 Ft/hó" NA
"4" "34.5" "52" "2" " 11. kerület, Allende park 13. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs megadva"
"5" "36.6" "56" "2" " 16. kerület, Molnár István sétány " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "25 000 Ft/hó" NA
"6" "76.05" "65" "2" " 11. kerület, Egry József utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA "45 000 Ft/hó" NA
"7" "27.5" "53" "2" " 16. kerület, Margit utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"8" "33.9" "65" "3" " 3. kerület, Kiscelli utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
"9" "25.4" "39" "1" " 4. kerület, Baross utca 55. " "felújított" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"10" "43" "51" "2" " 6. kerület, Andrássy út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "16 000 Ft/hó" NA
