"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "37.9" "43" "2" " 6. kerület, Szondi utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön és egyben is" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "20.99" "24" "1" " 13. kerület, Kassák Lajos utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "23.9" "53" "2" " 20. kerület, Topánka utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" NA "nincs megadva" "van" "4 m²" NA NA NA
"4" "28.9" "60" "2" " 8. kerület, Alföldi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"5" "125.4" "132" "4" " 11. kerület, Péterhegyi lejto " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "igen" "nincs megadva" "udvari beálló" "van" "28 m²" "30 000 Ft/hó" NA NA
"6" "51.9" "36" "1" " 5. kerület, Váci utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA NA NA NA
"7" "149.9" "116" "5" " 2. kerület, Országút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA "3 m²" "4 000 Ft/hó" NA NA
"8" "37.5" "67" "3" " 3. kerület, Mókus utca " "felújítandó" NA "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "házközponti" "igen" "nincs megadva" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva" NA
"9" "74.9" "142" "5" " 14. kerület, Alsórákos " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA "9 m²" NA NA NA
"10" "23.9" "47" "2" " 15. kerület, Újpalota " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "részt vett" NA
"11" "58" "73" "2" " 2. kerület, Kút utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"12" "43" "47" "2" " 12. kerület, Béla király út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "elektromos, gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "önálló garázs - benne van az árban" NA NA "11 000 Ft/hó" NA NA
"13" "27.39" "54" "2" " 4. kerület, Nyár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "4 m²" "25 000 Ft/hó" "nem vett részt" NA
"14" "139.9" "165" "5" " 12. kerület, Farkasrét " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA "27 m²" "40 000 Ft/hó" NA NA
"15" "32.5" "51" "2" " 9. kerület, Csengettyu utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "5 m²" NA NA NA
"16" "49.9" "60" "3" " 13. kerület, Angyalföld " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nincs megadva" "udvari beálló - kötelezo megvenni" "van" "4 m²" NA NA "2 M Ft"
"17" "74.3" "83" "4" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"18" "33.9" "38" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "nincs megadva" "udvari beálló - benne van az árban" "nincs" NA NA NA NA
"19" "24.79" "46" "1" " 18. kerület, Bókaytelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "10 m²" NA NA NA
"20" "54.9" "65" "3" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
