"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "120" "170" "3" " 9. kerület, Belso-Ferencváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "39.9" "40" "1" " 2. kerület, Országút " "jó állapotú" NA "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "89.9" "140" "11" " 6. kerület, Külso-Terézváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "45.7" "45" "1" " 7. kerület, Dob utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"5" "50" "60" "2" " 7. kerület, Thököly út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "125" "132" "4" " 5. kerület, Belváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "70 000 Ft/hó" NA NA NA
"7" "100" "78" "3" " 6. kerület, Andrássy út " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "28.7" "49" "2" " 10. kerület, Újhegyi sétány " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "4 m²" "részt vett" NA
"9" "40.9" "71" "2" " 9. kerület, Ülloi út " "felújított" NA "összkomfortos" "nincs megadva" "1" "5" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "4 m²" NA NA
"10" "18" "66" "2" " 6. kerület, Andrássy út 88-90 " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "61.09" "60" "3" " 17. kerület, Rákoskeresztúr " "újszeru" "2019" "összkomfortos" "AA++" "4" "4" "van" "3 m-nél alacsonyabb" "egyéb, hoszivattyú" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "92.63 m²" NA "2.95 M Ft"
"12" "25.9" "43" "3" " 8. kerület, Vay Ádám utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"13" "59" "94" "3" " 3. kerület, Békásmegyer – Józsefhegy " "jó állapotú" "1981-2000 között" "összkomfortos" "DD" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "panorámás" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA "16.36 m²" NA NA
"14" "29.5" "32" "2" " 6. kerület, Rippl-Rónai utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"15" "85.9" "87" "4" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2019" "duplakomfortos" "AA++" "5" "7" "van" "3 m-nél alacsonyabb" "egyéb" "van" "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" "nem" "nincs megadva" "nincs megadva" NA "14 m²" NA NA
"16" "148" "115" "6" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2019" "duplakomfortos" "AA++" "6" "7" "van" "3 m-nél alacsonyabb" "egyéb" "van" "nincs megadva" "egy helyiségben" "észak" "kertre nézo" "nem" "nincs megadva" "nincs megadva" NA "107 m²" NA NA
"17" "58.9" "38" "1" " 5. kerület, Balassi Bálint utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "7" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "79.8" "90" "4" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2019" "duplakomfortos" "AA++" "4" "7" "van" "3 m-nél alacsonyabb" "egyéb" "van" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nem" "nincs megadva" "nincs megadva" NA "17 m²" NA NA
"19" "78.8" "90" "4" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "egyéb" "van" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nem" "nincs megadva" "nincs megadva" NA "17 m²" NA NA
"20" "78" "90" "4" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "2019" "duplakomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "egyéb" "van" "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" "nem" "nincs megadva" "nincs megadva" NA "17 m²" NA NA
