"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "39.9" "29" "1" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "104.9" "53" "1" " 5. kerület, Báthory utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "87.5" "72" "2" " 7. kerület, Madách Imre út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"4" "43.9" "62" "2" " 12. kerület, Böszörményi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló" "4 m²" "20 000 Ft/hó" NA NA
"5" "38.8" "68" "3" " 14. kerület, Rákosfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA "részt vett" NA
"6" "47" "44" "1" " 13. kerület, Gömb utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"7" "38.4" "65" "3" " 3. kerület, Szolo utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "3 m²" NA "részt vett" NA
"8" "26" "47" "2" " 20. kerület, Baross utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "9" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "35 000 Ft/hó" "nem vett részt" "nincs"
"9" "19.85" "30" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs"
"10" "59.9" "54" "2" " 11. kerület, Korösy József utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"11" "63" "59" "2" " 2. kerület, Lipótmezo " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "25.5" "59" "3" " 19. kerület, Kispesti lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"13" "59.9" "58" "4" " 13. kerület, Szent István körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "udvari" "igen" "nem tetotéri" "utca, közterület" NA NA NA "nincs"
"14" "19.8" "21" "1" " 14. kerület, Limanova tér " "felújítandó" NA "összkomfortos" "nincs megadva" "5" "5" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"15" "115.5" "123" "3" " 12. kerület, Mártonhegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" "12 m²" NA NA NA
"16" "27.9" "59" "2" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"17" "24.9" "43" "1" " 18. kerület, Építo utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"18" "96" "100" "3" " 9. kerület, Mester utca 53. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "fan-coil, elektromos" "igen" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "3 m²" "30 000 Ft/hó" NA "van"
"19" "115.5" "123" "3" " 12. kerület, Mártonhegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "12 m²" NA NA NA
"20" "23.4" "53" "3" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
