"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "42.9" "46" "2" " 7. kerület, Király utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "36.9" "44" "2" " 13. kerület, Csata utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA NA
"3" "30.9" "34" "1" " 6. kerület, Kmety György utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"4" "33.9" "52" "2" " 10. kerület, Tavas utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "5 m²" NA NA NA NA
"5" "70" "80" "3" " 2. kerület, Kút utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA NA
"6" "33.7" "48" "2" " 3. kerület, Kerék utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" "4 m²" NA "25 000 Ft/hó" "nincs megadva" NA
"7" "22.8" "36" "1" " 10. kerület, Oltó utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "7 130 Ft/hó" "nincs megadva" NA
"8" "65" "50" "1" " 13. kerület, Fáy utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "34.9" "58" "2" " 13. kerület, Pannónia utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "10 000 Ft/hó" "nincs megadva" NA
"10" "65" "83" "4" " 3. kerület, Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "5 m²" NA NA "nincs megadva" NA
"11" "43.5" "55" "2" " 2. kerület, Margit körút 47-49 " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "44.9" "52" "2" " 14. kerület, Paskál-malom utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló" "8 m²" NA NA NA NA
"13" "52.9" "65" "3" " 14. kerület, Czobor utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "4 m²" "van" "10 000 Ft/hó" NA "2 M Ft"
"14" "59.9" "54" "2" " 13. kerület, Bodor utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "13 m²" NA NA NA NA
"15" "24.8" "30" "1" " 8. kerület, Népszínház utca 20. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "15 000 Ft/hó" NA NA
"16" "29.9" "44" "1" " 8. kerület, Nap utca 41. " "felújított" "1981-2000 között" "összkomfortos" "AA+" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" "van" NA "nincs megadva" NA
"17" "30" "46" "1" " 14. kerület, Cserto utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "25 000 Ft/hó" "részt vett" NA
"18" "43.5" "55" "2" " 2. kerület, Margit körút 47-49 " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
