"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "panelprogram"
"1" "254.8" "321" "7.5" " 6. kerület, Király utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "24.5" "56" "2" " 20. kerület, Pacsirtatelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "68.5" "100" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "37.9" "64" "2" " 13. kerület, Déryné köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"5" "69.9" "82" "3" " 14. kerület, Amerikai út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "kelet" "kertre nézo" "igen" "nincs megadva" "udvari beálló - benne van az árban" "nincs" "7 m²" NA NA
"6" "26.8" "29" "1" " 3. kerület, Szépvölgyi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "44.9" "39" "1" " 5. kerület, Október 6. utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"8" "59.9" "81" "3" " 11. kerület, Lágymányosi utca " "közepes állapotú" "1950 elott" "összkomfortos" "CC" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"9" "17" "35" "1" " 10. kerület, Gergely utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "25.9" "30" "1" " 14. kerület, Róna utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA
