"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "108" "72" "3" " 6. kerület, Király utca " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "8 M Ft" NA NA NA NA NA
"2" "33.9" "71" "3" " 15. kerület, Drégelyvár utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" "van" "4.5 m²" "nem vett részt" NA
"3" "91.8" "124" "3" " 3. kerület, Kocsis Sándor út " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" "nem" "nincs megadva" "kelet" "panorámás" "igen" "nem tetotéri" "önálló garázs - benne van az árban" NA "2019" NA "32 m²" NA NA
"4" "72.9" "93" "4" " 14. kerület, Columbus utca " "jó állapotú" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - kötelezo megvenni" "4 M Ft" "1950-1980 között" "nincs" "9 m²" NA NA
"5" "59.9" "125" "3.5" " 4. kerület, Újpest-Kertváros " "jó állapotú" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "nem" "tetotéri" "önálló garázs" NA "2001-2010 között" NA "3 m²" NA NA
"6" "29.9" "87" "3" " 14. kerület, Herminamezo " "felújítandó" "nincs megadva" "nincs megadva" "szuterén" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA NA NA
"7" "65.9" "93" "3" " 16. kerület, Rákosszentmihály " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "önálló garázs" NA "1981-2000 között" NA "6 m²" NA NA
"8" "57" "71" "2" " 13. kerület, Balzac utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" "van" "2 m²" NA NA
"9" "37.6" "48" "1" " 1. kerület, Márvány utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA "30 000 Ft/hó"
"10" "33.9" "49" "1" " 20. kerület, János utca " "felújított" "összkomfortos" "nincs megadva" "8" "10" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "1981-2000 között" NA "4 m²" "nincs megadva" NA
