"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "44.9" "53" "2" " 13. kerület, Kádár utca 10. " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"2" "38.5" "58" "2" " 13. kerület, Párkány utca " "felújított" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" "1981-2000 között" "9 600 Ft/hó" "3 m²" "nincs megadva" NA NA
"3" "38.5" "60" "2" " 7. kerület, Dózsa György út " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" NA NA NA NA NA
"4" "155" "90" "3" " 13. kerület, Szent István körút 2. " "felújított" "luxus" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA "van" NA
"5" "28.9" "40" "1" " 11. kerület, Csóka utca " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA "nincs" NA
"6" "199.5" "105" "3" " 12. kerület, Dániel út " "közepes állapotú" "luxus" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "északkelet" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "2001-2010 között" "45 000 Ft/hó" "60 m²" NA "van" NA
"7" "23.5" "43" "1" " 18. kerület, Mikszáth Kálmán utca " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "északkelet" "nincs megadva" "nem" NA "utca, közterület - ingyenes" "1981-2000 között" NA NA NA "nincs" NA
"8" "40.9" "42" "1" " 13. kerület, Szabolcs utca " "újszeru" "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely" NA NA "5 m²" NA "van" NA
"9" "52.4" "60" "3" " 13. kerület, Tomori köz " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA "3 m²" NA "van" NA
"10" "26.9" "36" "1" " 14. kerület, Öv utca 137. " "újszeru" "összkomfortos" "AA+" "3" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA "3 m²" NA NA "5 M Ft"
"11" "49.5" "59" "2" " 8. kerület, Nap utca 32. " "újszeru" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2001-2010 között" "19 100 Ft/hó" NA NA "nincs" "4.5 M Ft"
