"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "29.3" "43" "1" " 7. kerület, István utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "24.9" "55" "2" " 10. kerület, Ónodi köz " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "önálló garázs - kötelezo megvenni" "4 m²" "1.5 M Ft" NA NA NA
"3" "55" "45" "1" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2.5 m²" NA "van" "40 000 Ft/hó" NA
"4" "62" "85" "2" " 2. kerület, Törökvész " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "18 m²" NA NA NA NA
"5" "33.5" "49" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "4.02 m²" NA NA "13 000 Ft/hó" "nincs megadva"
"6" "104.9" "114" "3" " 1. kerület, Batthyány tér " "felújított" NA "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" NA NA NA NA
"7" "42.9" "47" "2" " 9. kerület, Középso-Ferencváros – Malmok " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"8" "38.9" "78" "2" " 8. kerület, Lujza utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "17 000 Ft/hó" NA
"9" "39.9" "77" "2" " 7. kerület, Szinva utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "15 000 Ft/hó" NA
"10" "29.99" "26" "1" " 7. kerület, Hernád utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nem" "nincs megadva" "nincs megadva" NA NA NA "7 000 Ft/hó" NA
"11" "32" "64" "3" " 8. kerület, Baross utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "4 m²" NA NA NA "részt vett"
"12" "26.99" "54" "2" " 4. kerület, Árpád út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA NA "nincs megadva"
"13" "94.9" "180" "7" " 14. kerület, Alsórákos " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA "van" NA NA
"14" "44.9" "51" "2" " 6. kerület, Andrássy út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"15" "99.9" "122" "3" " 7. kerület, Erzsébet körút " "felújított" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "van" "25 000 Ft/hó" NA
"16" "30.8" "40" "1" " 7. kerület, Izabella utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"17" "89" "80" "3" " 5. kerület, Belváros " "felújított" NA "duplakomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA NA
"18" "26.9" "36" "1" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "2 m²" NA NA NA NA
"19" "28.9" "30" "1" " 13. kerület, Hegedus Gyula utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "7 000 Ft/hó" NA
"20" "49.99" "57" "2" " 9. kerület, Liliom utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" NA NA NA NA
