"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "18.9" "31" "1" " 4. kerület, József Attila utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "28.5" "34" "1" " 13. kerület, Angyalföld " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "nincs megadva" "nincs" "4 m²" NA NA NA
"3" "21.9" "31" "1" " 8. kerület, Visi Imre utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "10 000 Ft/hó" NA NA
"4" "65" "78" "2" " 11. kerület, Mohai út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "5 m²" NA NA NA
"5" "49.9" "55" "2" " 1. kerület, Gellérthegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" "2 m²" NA NA NA
"6" "61.7" "88" "3" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "AA+" "2" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia, padlófutés" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "tetotéri" "udvari beálló - megvásárolható" "van" "8 m²" NA "1.5 M Ft" NA
"7" "72.6" "89" "4" " 14. kerület, Alsórákos " "nincs megadva" "2019" "duplakomfortos" "AA+" "1" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia, padlófutés" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - megvásárolható" "van" "13 m²" NA "1.5 M Ft" NA
"8" "70.5" "89" "3" " 14. kerület, Alsórákos " "nincs megadva" "2019" "duplakomfortos" "AA+" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia, padlófutés" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - megvásárolható" "van" "11 m²" NA "1.5 M Ft" NA
"9" "33.3" "40" "2" " 6. kerület, Csengery utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA "27 000 Ft/hó" NA NA
"10" "48" "81" "3" " 8. kerület, Népszínház utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"11" "47.5" "68" "2" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "28.99" "66" "2" " 9. kerület, Hentes utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"13" "77.9" "85" "2" " 13. kerület, Raoul Wallenberg utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" "igen" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "5 m²" NA NA NA
"14" "94.9" "106" "3" " 9. kerület, Közraktár utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"15" "24.5" "32" "1" " 3. kerület, Óbudai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "5 m²" NA NA "nincs megadva"
"16" "64.1" "49" "2" " 7. kerület, Holló utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA NA NA
"17" "333" "287" "5" " 12. kerület, Kútvölgy " "újszeru" "2001-2010 között" "luxus" "AA" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "van" "100 m²" "100 000 Ft/hó" NA NA
"18" "210" "108" "3" " 13. kerület, Szent István park " "felújított" "1950 elott" "luxus" "nincs megadva" "6" "7" "van" "3 m vagy magasabb" "távfutés" "igen" "külön és egyben is" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" "4.5 m²" NA NA NA
"19" "69.9" "49" "2" " 13. kerület, Szent István park " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "távfutés" "igen" "egy helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3.5 m²" "38 000 Ft/hó" NA NA
"20" "145.8" "140" "3" " 13. kerület, Párkány utca " "újszeru" "2015" "összkomfortos" "nincs megadva" "6" "8" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA NA NA
