"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "25.9" "53" "2" " 4. kerület, Lebstück Mária utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "kelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA NA
"2" "63.9" "93" "2.5" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "10 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" "24 000 Ft/hó" "3 M Ft"
"3" "32.99" "65" "3" " 15. kerület, Drégelyvár utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"4" "135" "105" "3" " 7. kerület, Király utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "van" NA NA
"5" "26.9" "35" "1" " 8. kerület, Víg utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "nincs" NA NA
"6" "37.9" "60" "2" " 9. kerület, Pöttyös utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "3 m²" "nem" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "18.9" "40" "1" " 13. kerület, Gyöngyösi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "5" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"8" "59.9" "77" "3" " 14. kerület, Hungária körút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"9" "147.5" "90" "2" " 5. kerület, Garibaldi utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "panorámás" "35 m²" "igen" "nincs megadva" NA "nincs megadva" "van" NA NA
"10" "32.49" "49" "2" " 7. kerület, Osvát utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nincs megadva" NA "utca, közterület" NA NA NA
"11" "44.9" "54" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"12" "69.9" "93" "4" " 7. kerület, Nagy Diófa utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "dél" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"13" "35" "42" "2" " 7. kerület, Alsó erdosor " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" NA "30 000 Ft/hó" NA
"14" "28.4" "66" "2" " 20. kerület, Topánka utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "utca, közterület" NA NA NA
"15" "99" "110" "5" " 11. kerület, Sasad " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "10 m²" "nem" "legfelso emelet, nem tetotéri" NA "önálló garázs - kötelezo megvenni" NA NA "11 M Ft"
"16" "75" "75" "3" " 6. kerület, Andrássy út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA NA
"17" "33.9" "37" "1" " 14. kerület, Mimóza utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "van" "25 000 Ft/hó" NA
"18" "32.9" "42" "1" " 7. kerület, Dob utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"19" "27.3" "53" "1" " 13. kerület, Szent László út " "felújított" NA "összkomfortos" "nincs megadva" "szuterén" "4" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "14 m²" "igen" "nem tetotéri" NA "utca, közterület" NA NA NA
"20" "20.9" "26" "1" " 14. kerület, Istvánmezo " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" NA "nincs megadva" "van" "20 000 Ft/hó" NA
