"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "29.5" "67" "2" " 4. kerület, Szabolcsi Bence tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "49.9" "69" "2" " 14. kerület, Vezér utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA "teremgarázs hely" "van" "8 m²" NA
"3" "45.9" "51" "2" " 8. kerület, Tisztviselotelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" "8.13 m²" "3.98 M Ft"
"4" "85.9" "104" "4" " 14. kerület, Varsó utca 23. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "van" "8 m²" "7 M Ft"
"5" "33.5" "51" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nem vett részt" "nincs megadva" NA "6 m²" NA
"6" "45.6" "50" "2" " 8. kerület, Tisztviselotelep " "újszeru" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" "8.13 m²" "3.98 M Ft"
"7" "135" "105" "5" " 7. kerület, Király utca " "felújított" "1950-1980 között" "luxus" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA NA
"8" "33.5" "41" "1" " 8. kerület, Ülloi út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"9" "53.86" "55" "2" " 8. kerület, Tisztviselotelep " "újszeru" "2019" "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA "igen" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" "10.4 m²" "3.98 M Ft"
"10" "65" "84" "2" " 2. kerület, Országút " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "3 m²" NA
