"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve"
"1" "35.9" "53" "2" " 16. kerület, Edit utca " "felújított" "összkomfortos" "A" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "padlófutés, gáz (cirko)" "nincs" "20 000 Ft/hó" "nem" "egy helyiségben" "észak" "utcai" "7 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA
"2" "24.5" "27" "1" " 10. kerület, Kelemen utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között"
"3" "49" "105" "3" " 8. kerület, Karácsony Sándor utca 15. " "felújítandó" "komfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA
"4" "99.9" "94" "3" " 5. kerület, Lipótváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott"
"5" "35.9" "85" "2" " 17. kerület, Alsórákoshegy " "felújítandó" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" NA "nem" "külön helyiségben" "délnyugat" "utcai" "23 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között"
"6" "139.9" "91" "3" " 6. kerület, Lovag utca " "nincs megadva" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "66 m²" "nincs megadva" "nincs megadva" "nincs megadva" "2018"
"7" "64.9" "70" "2" " 5. kerület, Bécsi utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott"
"8" "99.9" "94" "3" " 5. kerület, Lipótváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott"
"9" "24.9" "44" "2" " 8. kerület, Dobozi utca " "felújítandó" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA
"10" "180.27" "132" "3" " 5. kerület, Szervita tér " "felújított" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott"
"11" "179" "144" "4" " 5. kerület, Lipótváros " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott"
"12" "49" "62" "2" " 12. kerület, Alkotás utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "7" "van" "nincs megadva" "gáz (konvektor)" NA NA "igen" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA
"13" "72.3" "75" "3" " 14. kerület, Alsórákos " "nincs megadva" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gázkazán" NA NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" "13.14 m²" "nincs megadva" "nincs megadva" "önálló garázs" "2019"
"14" "22.5" "29" "1" " 10. kerület, Szárnyas utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
